Total,AccLB,InAccLB,AccSP,InAccSP
30.4,0.8,1.7,24.1,3.8
18.9,0.5,0.6,14.6,3.2
74.1,4.5,2.7,62.7,4.3
20.2,0.5,0.2,16.3,3.2
20.9,0.2,0.2,18.3,2.2
23,0.9,1.2,18.5,2.5
18.1,0.6,0.6,13.6,3.3
34,0.7,1,26.2,6.1
31.7,5.5,11.6,14.6,0.1
63.3,1,2.7,57,2.7
52.3,1,1.5,46.5,3.3
20.8,0.7,1.2,14,4.9
31.9,6.4,9.1,16.1,0.3
21.9,0.6,0.2,16,5.1
36.6,1.6,1.4,29.4,4.1
36.9,1.5,1,30.6,3.8
52.2,2.4,4,42.4,3.4
9.7,-,0.3,5,4.5
23.6,5.1,12.4,6,-
23.3,1,1.3,17.8,3.3
32.9,2.1,2.7,24.6,3.4
74.4,2.5,3.1,64.8,4
27.1,0.5,0.5,21.9,4.2
11.8,1,1.5,8.3,1
23.7,1,0.6,18.8,3.3
34.5,1,1.4,27.4,4.7
37.9,1.7,2,31.8,2.4
33.5,0.5,7,24,2
13.8,0.3,0.5,9.3,3.8
33.1,2,3.5,25.4,2.2
39.1,1.7,0.9,30.5,6
33.1,0.6,1.5,27.2,3.9
20.9,1.1,0.6,15.6,3.5
30.1,3.8,7.1,19,0.2
13.2,0.9,0.5,9.8,1.9
20.4,0.9,0.3,16.7,2.5
30.3,2.4,3.6,19.7,4.5
28.3,1.7,2.7,20.6,3.4
29.7,7.3,10.1,12.2,-
14.1,0.2,0.3,9.9,3.8
32,1.8,1.9,23.9,4.5
28.5,1.7,1.8,21.2,3.8
23,1.1,1.2,16.1,4.7
31.1,1.1,0.8,26.9,2.3
34.4,1.5,1.1,28.5,3.3
35.4,1.3,2,28.2,3.9
41.4,3.3,3.9,31.8,2.5
34.3,2.7,4.4,27.1,0.1
12.6,0.1,0.1,8.3,4.1
24.7,0.9,0.4,21.2,2.2
25.5,1.3,5,18.8,0.5
29.4,2,2.3,22.5,2.6
27.8,0.9,2.5,20.4,4
44.2,1.8,2.3,36.2,3.9
28.7,3.5,2.5,22.3,0.3
13,-,-,10.5,2.5
46.7,1.9,2,39,3.9
23.8,4,5.2,14.1,0.4
40.7,2.3,4,30.3,4
17.2,0.3,0.5,12.5,4
18,0.9,1,13,3.1
31.9,2.9,5.2,21.7,2.2
24.3,2.4,2.3,16.5,3.1
22.7,1,2,16.2,3.5
13.1,0.1,0.4,10.2,2.4
28.3,1.1,1.3,21.6,4.4
22.2,2.8,4.6,14.8,0.1
70.2,2.8,3,61.7,2.7
36.7,2.2,2.4,29.3,2.9
30.7,1.2,3.1,21.4,5.1
13.1,0.5,0.2,9.1,3.3
47.1,3.1,3.1,38.1,2.9
32.7,1.5,1.7,24.7,4.8
36.5,0.5,1.1,31.6,3.4
31.2,1,1.3,24.9,3.9
31.9,1.3,1.4,25.9,3.3
8.2,-,0.2,5,3
39.9,1,0.4,36.9,1.6
30.6,1,1.8,23.4,4.4
28.2,1,0.8,22.3,4.1
37,1.3,0.8,31.6,3.3
10.8,0.3,0.2,7.6,2.7
39.4,2.1,2.6,31.4,3.1
27.4,1.8,1.4,20.7,3.5
8.9,0.3,0.4,6.6,1.6
12.9,0.3,0.6,9,3
30,3.6,6.1,20.2,0.2
16.1,0.1,0.3,13.6,2.1
54,2,1.3,47.6,3
26.9,5.1,10.1,11.5,0.2
29.5,1.4,0.5,24.3,3.3
25.8,4.5,10.8,10.5,-
33,0.9,0.5,28.7,2.9
27.3,1.9,1.7,21.4,2.3
42.7,1.8,1.2,36.5,3.2
24.8,4.6,12.8,7.2,0.2
11,0.1,-,8.7,2.1
13.8,0.6,0.8,11.2,1.3
12.8,0.1,0.2,9.5,3.1
31.3,0.6,2,25,3.8
43.9,2.4,1.2,36.7,3.6
35.2,2.7,2.1,26,4.5
8.5,0.2,0.2,6.1,2.1
27.8,1.3,1.1,23.8,1.7
11,0.2,0.5,7.9,2.3
14.5,0.4,0.5,10.2,3.3
14.2,0.2,0.2,10.4,3.4
29.9,4.5,11.7,13.7,0.2
15,0.3,0.6,10.1,4.1
49.4,1.7,2.9,41.2,3.6
21.4,0.8,1.2,14.9,4.6
26,1.8,2.2,18.5,3.5
13.2,0.4,0.2,10.8,1.8
37.1,1.7,2.3,30.3,2.7
16.2,0.7,1.4,12,2.1
49.8,3.9,3.3,39.6,3
39.1,1.4,2.8,32.4,2.5
23.1,0.3,1.1,19.1,2.6
16.8,0.4,0.2,13.6,2.5
20.9,0.8,0.8,16.8,2.5
32.4,2.6,1.8,24.6,3.5
4.3,-,0.2,3,1.2
33.6,6.1,9.9,17.4,0.1
24.5,1.3,1.5,20.5,1.3
30,1.5,1.7,24.5,2.3
25.4,0.8,0.2,22,2.3
27.8,1.8,0.7,21.8,3.5
16.7,0.6,0.6,12.7,2.9
15.3,0.8,0.7,12,1.8
27.9,9.6,12.9,5.3,-
13.6,0.6,0.9,9.3,2.8
54.1,2.9,3.4,45.5,2.2
19.1,0.4,2.1,14.5,2.1
13.9,0.6,0.3,9.6,3.4
13.6,1,0.5,10.4,1.8
31.9,1.9,0.8,26,3.2
21.6,0.7,0.3,15.9,4.7
34.6,2.3,2,27.8,2.5
51.3,1.6,3.2,43.2,3.3
11.8,-,1,8,2.8
17.6,0.2,0.3,14.5,2.6
44.9,2.1,0.5,40.6,1.7
23.7,0.9,1.1,18.7,2.9
8.4,0.2,0.2,4.5,3.6
24.8,1.1,2.1,17.8,3.8
34,1.8,3.7,26.5,2
28.5,0.5,1.5,22,4.5
46,2.7,3.5,37.6,2.1
13,1,1.2,9.6,1.2
25.6,1.3,1.5,20.1,2.7
17.8,0.5,2.3,11.3,3.7
23.8,0.8,2.6,16.6,3.9
11.3,0.3,0.3,8.2,2.5
7,0.1,-,5.3,1.6
29.6,2,2.4,21.7,3.5
15,0.5,0.2,11.7,2.5
44.1,2.8,2.1,36.2,3
21.9,1.3,1.1,16.8,2.8
25.2,0.4,0.1,22.8,2
16.8,0.8,0.5,13.6,2
6,0.1,-,4.4,1.5
27.4,0.8,1.6,22.2,2.7
7.7,0.1,0.2,5.7,1.8
58,2,1.5,52,2.5
21.6,0.5,0.7,18.5,1.9
35.2,1.9,3.1,27.3,2.9
42.8,1.4,0.4,39,2.1
21.7,0.6,0.7,17.9,2.6
23.7,4.4,6.6,12.5,0.2
14.2,0.2,-,12.2,1.8
16.3,0.3,0.9,12,3.1
13.4,0.5,0.7,9.5,2.7
45.1,1.1,0.4,40,3.6
16.5,0.7,1.3,11.8,2.7
13.8,1.5,0.2,10.8,1.3
5,1,-,4,-
36.8,0.7,1.1,32.7,2.4
20.6,1.1,1.1,15.3,3.1
12.3,1.3,0.9,9.1,1
5.1,0.1,0.1,4.1,0.7
18.7,0.8,1.4,14.1,2.3
10.4,0.6,0.4,7.3,2.1
18.2,0.9,0.8,13.3,3.3
25.6,2,1.8,19,2.9
28.1,1.6,1.4,20.4,4.7
9.8,0.6,0.1,6,3.1
12.5,0.4,0.2,10.8,1.1
29.2,0.7,1.2,24.1,3.2
3.7,-,0.1,2.6,1
9.9,0.2,0.1,6.6,3
17.3,0.4,0.9,12.9,3.1
16.3,1.1,0.7,11.4,3.1
31.5,1.5,0.5,27,2.5
29.6,2.4,1.6,22,3.6
19.3,1,1.1,14.3,2.9
9.1,0.1,-,5.9,3
30.8,0.9,1.8,24.1,4
19.4,1.4,2.2,13.2,2.5
27.2,1.2,1.2,22.2,2.6
38.5,1.8,0.8,33.1,2.9
7.8,0.1,0.1,5.9,1.7
5.3,0.1,-,3.7,1.5
46.8,1.9,0.9,41,3.1
13.9,0.5,0.7,11.1,1.7
14.5,0.9,1.4,10,2.1
11.1,0.4,0.1,8,2.6
10.5,-,0.1,8.6,1.8
8.8,0.4,0.1,6.8,1.6
20.8,-,0.2,17.8,2.8
11.8,1,1.4,7.6,1.7
5.4,-,0.1,4.2,1.1
8.6,1,1.1,4.1,2.3
11.6,0.2,1.3,8.4,1.6
16.3,0.4,0.7,12.1,3.1
14.5,0.2,0.5,9.6,4.2
11.6,0.3,0.6,7.7,3
9.3,0.1,0.4,6.6,2.2
31.7,1.1,2,28,0.6
9.7,0.2,0.3,7.2,1.9
24.8,0.8,0.5,21.8,1.8
27.5,1.4,2,21.7,2.4
8.9,0.2,0.5,5.6,2.6
14,0.5,1.1,10.7,1.7
8.5,0.2,0.1,6.5,1.7
45,2.2,3.6,36.7,2.6
6.5,-,0.5,3.5,2.5
8,0.3,0.1,7,0.6
5.9,0.3,0.1,3.8,1.7
14.6,0.4,-,12.2,2
11.5,0.4,0.3,8.5,2.4
12,-,1,5,6
19.7,0.7,1,16.3,1.7
16.8,0.6,0.9,13.2,2.2
32.7,2.6,2.8,26.1,1.2
9.2,-,-,7.8,1.4
33.5,6.1,13.3,14,0.1
5.9,0.1,0.1,4.8,0.9
12.5,0.6,0.4,7.6,3.9
8.4,0.3,0.3,6,1.8
12.2,0.4,0.2,10.2,1.5
12.8,0.4,0.2,9.8,2.4
19.2,1.1,0.4,16.4,1.3
22.8,0.9,1.8,17.1,3
8.7,0.2,0.1,5,3.3
15.6,0.8,0.6,11.4,2.9
10.5,0.4,0.5,8.3,1.4
11,0.5,0.4,8.5,1.6
4.5,-,-,3,1.4
31.5,0.8,1.9,27.3,1.5
16.5,0.5,1.5,11.5,3
18.5,0.6,1.2,14.3,2.3
9,0.2,0.1,5.7,3
10.7,0.7,0.2,9.2,0.7
6.2,0.2,0.4,4.4,1.2
10.4,0.6,0.2,7.6,2
19.5,2.5,3,10.5,3.5
17.3,0.3,0.4,14.6,1.9
7.7,0.2,0.1,5.8,1.6
26.7,1.2,0.8,21.8,2.9
10.6,-,0.3,9.8,0.4
20.9,1.4,2.6,14.6,2.3
2,-,-,2,-
4,-,-,4,-
9,0.7,-,5,3.3
7.3,0.2,-,4.6,2.4
7.6,-,0.3,5.6,1.8
11.6,0.2,0.2,8.9,2.3
36.4,0.2,1,32.7,2.5
7.6,0.2,0.2,4.8,2.4
6.1,0.2,-,4.1,1.8
10.6,0.3,0.4,8.7,1.1
8,-,0.1,4.4,3.4
2.5,-,-,0.5,2
5,-,-,3.5,1.5
11.1,0.4,0.6,7.7,2.4
5.3,-,0.3,3.7,1.3
5.8,-,-,4.3,1.5
23.4,1.2,0.3,20.4,1.4
4.8,0.1,-,4.2,0.5
6.1,0.1,-,5,1
25,9,15.5,0.5,-
7,0.3,0.1,5.5,1.1
7.1,0.1,0.2,4,2.7
22.5,0.5,0.5,17.5,4
11.3,0.1,-,6.6,4.5
8.3,0.3,1,4.3,2.7
13.8,0.1,0.7,10.5,2.5
1,-,-,-,1
19,0.8,1.3,14,2.8
25,8.2,10.5,6.3,-
5.9,0.2,0.1,4.2,1.3
17.9,0.7,0.8,14,2.4
4.7,0.1,0.1,3.4,1.2
6.5,-,0.2,5.1,1.2
34,2,2,29,1
13.2,-,0.4,11,1.8
8,0.5,1,5.5,1
6.8,0.3,0.3,4.8,1.5
38.8,2,3.4,30.2,3.2
12.4,0.6,0.5,8,3.3
2.6,0.1,-,2.1,0.5
15.3,0.6,1.5,11.1,2.2
9,0.3,0.5,5.6,2.5
26.4,1.2,1.8,22,1.4
7,-,-,6,1
10.8,0.5,0.5,8.5,1.3
12.2,0.4,0.6,10,1.2
6.4,-,-,3.6,2.9
5,-,-,4,1
8.7,0.5,0.2,6.6,1.4
4,-,-,4,-
6,-,-,3,3
5,-,-,4,1
7.8,-,0.3,6,1.5
6.5,-,-,5.2,1.3
8.3,0.3,0.6,4.9,2.5
3.7,0.1,-,2.3,1.2
15.5,0.8,0.8,12,1.9
15.1,1.1,0.8,10.9,2.2
36.2,2.2,2.2,29.5,2.2
59.7,0.7,0.7,56,2.3
17.6,0.3,0.3,15.9,1.2
4.2,0.2,-,2.6,1.4
3.6,0.2,0.2,2.6,0.6
14.8,0.8,0.5,11.4,2.1
