,Club,League,Age,National,Height,Main_position,Foot,Market_Value,Months_left,Start_app,Sub_app,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Market_Value_log,Card,Position_Group,Continent,Continent_Grouped,Club_Group
1647,AS Monaco,Ligue1,25,Poland,193,Goalkeeper,right,7.0,37.0,15.0,0.0,1350.0,0,0,1,0,0.0,69.5,0.3,0,6.57,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,2.4,6.7,12.9,0.1,0.0,0.0,2.9,0.1,1.7,1.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0794415416798357,1,Phòng ngự,Europe,Europe,Mid-Tier
1648,FC Toulouse,Ligue1,22,Algeria,177,Right Midfield,right,0.8,13.0,5.0,6.0,419.0,0,1,0,0,0.4,74.7,0.5,0,6.44,0.9,0.5,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.6,0.0,0.0,0.8,0.5,0.2,0.6,0.6,0.8,0.0,0.0,0.0,0.0,0.8,0.7,0.2,0.5,0.1,15.5,0.5,0.8,11.0,3.1,1.1,1.1,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.2,1.4,0.1,1.5,0.5877866649021191,0,Tiền vệ,Africa,Africa,Bottom Tier
1649,FC Toulouse,Ligue1,28,Denmark,191,Centre-Back,left,5.0,1.0,7.0,0.0,624.0,0,1,0,0,0.7,88.0,3.0,0,6.73,4.3,3.0,1.3,0.0,0.0,0.1,0.0,0.0,0.1,0.7,0.0,0.7,0.0,0.0,3.6,0.1,0.1,0.3,1.1,0.6,0.0,0.0,0.0,0.0,1.4,0.3,0.1,0.1,0.0,54.9,3.6,2.6,44.7,4.0,0.1,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.4,0.9,0.3,1.1,1.791759469228055,0,Phòng ngự,Europe,Europe,Lower Tier
1650,Le Havre AC,Ligue1,23,France,179,Defensive Midfield,right,2.5,13.0,11.0,14.0,1054.0,1,0,2,0,0.7,78.5,0.6,0,6.36,1.4,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.1,0.0,1.0,0.4,0.1,0.5,0.4,0.5,0.0,0.0,0.0,0.0,0.5,0.4,0.1,0.3,0.0,16.0,0.5,0.7,12.0,2.8,0.6,0.2,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.4,1.4,0.6,2.0,1.252762968495368,2,Tiền vệ,Europe,Europe,Bottom Tier
1651,Olympique Lyon,Ligue1,21,France,177,Right Winger,both,35.0,13.0,20.0,7.0,1843.0,8,10,3,0,1.3,84.9,0.1,6,7.35,0.4,0.1,0.3,0.1,0.0,0.1,0.0,0.1,0.4,0.0,0.0,0.2,0.1,0.0,0.2,1.6,1.6,3.2,1.1,0.6,0.3,0.0,0.3,0.0,0.3,2.5,0.4,2.1,0.1,40.5,1.4,0.5,32.9,5.6,1.6,1.5,0.0,0.0,0.0,0.0,1.3,0.3,0.1,0.9,0.5,0.8,1.3,3.58351893845611,3,Tiền đạo,Europe,Europe,Upper Tier
1652,Stade Reims,Ligue1,23,Germany,175,Attacking Midfield,right,2.5,25.0,0.0,4.0,78.0,0,0,0,0,0.0,81.5,0.0,0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.8,1.0,1.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,6.8,0.0,0.5,5.5,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,1.252762968495368,0,Tiền đạo,Europe,Europe,Bottom Tier
1653,Stade Brestois 29,Ligue1,29,France,172,Right Winger,left,8.0,25.0,12.0,11.0,1096.0,5,3,0,0,0.8,76.4,0.3,1,6.71,0.8,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.2,0.9,0.7,1.7,0.7,0.4,0.2,0.0,0.2,0.0,0.3,1.3,0.7,0.6,0.0,21.2,0.8,0.7,15.4,4.3,1.5,0.7,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.6,1.3,0.6,1.8,2.1972245773362196,0,Tiền đạo,Europe,Europe,Mid-Tier
1654,Stade Brestois 29,Ligue1,26,France,180,Right Midfield,left,7.0,1.0,10.0,10.0,900.0,3,2,2,0,1.0,86.2,0.4,0,6.58,0.9,0.4,0.5,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.4,0.1,0.0,0.2,1.3,0.9,2.1,1.2,0.3,0.2,0.1,0.1,0.0,0.2,0.5,0.2,0.4,0.1,17.4,0.2,0.2,14.8,2.3,0.7,0.4,0.0,0.0,0.0,0.0,1.0,0.2,0.1,0.8,0.7,0.3,0.9,2.0794415416798357,2,Tiền vệ,Europe,Europe,Mid-Tier
1655,RC Lens,Ligue1,32,France,172,Right-Back,right,4.0,13.0,12.0,3.0,1050.0,1,1,4,0,0.7,83.1,0.7,0,6.73,1.6,0.7,0.9,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,1.3,0.3,0.0,1.5,0.8,0.6,1.4,1.0,0.9,0.1,0.0,0.1,0.0,0.9,0.6,0.0,0.6,0.3,42.2,1.5,1.1,33.6,6.0,1.2,0.4,0.0,0.0,0.0,0.0,0.7,0.3,0.1,0.3,2.3,0.9,3.2,1.6094379124341003,4,Phòng ngự,Europe,Europe,Lower Tier
1656,LOSC Lille,Ligue1,35,France,172,Attacking Midfield,right,3.0,1.0,11.0,10.0,899.0,0,2,1,0,1.2,87.2,0.0,2,6.68,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.1,0.8,0.9,1.7,0.9,0.8,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.7,0.0,28.7,0.2,0.0,24.9,3.6,0.7,0.4,0.0,0.0,0.0,0.0,1.2,0.4,0.2,0.6,1.6,0.6,2.2,1.3862943611198906,1,Tiền đạo,Europe,Europe,Lower Tier
