,Club,League,Age,National,Height,Main_position,Foot,Market_Value,Months_left,Start_app,Sub_app,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Market_Value_log,Card,Position_Group,Continent,Continent_Grouped,Club_Group
0,TSG 1899 Hoffenheim,Bundesliga,22,Czech Republic,188,Second Striker,right,18.0,49.0,19.0,5.0,1619.0,7,2,2,0,2.2,70.4,1.5,3,6.84,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.5,0.1,0.0,0.8,1.1,1.2,2.3,1.2,0.6,0.3,0.0,0.2,0.0,0.2,0.8,0.1,0.7,0.2,17.5,0.5,0.6,11.8,4.6,1.7,1.4,0.0,0.0,0.0,0.0,2.2,0.8,0.1,1.3,0.8,0.4,1.2,2.9444389791664403,2,Tiền đạo,Europe,Europe,Mid-High Tier
1,1.FC Heidenheim 1846,Bundesliga,27,Germany,186,Attacking Midfield,right,2.0,37.0,15.0,14.0,1383.0,2,1,1,0,1.1,81.9,0.9,0,6.55,1.4,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.6,1.0,1.2,2.2,0.3,0.6,0.1,0.0,0.1,0.0,0.2,0.6,0.1,0.5,0.1,20.4,1.0,0.5,15.7,3.2,1.2,0.7,0.0,0.0,0.0,0.0,1.1,0.4,0.1,0.5,1.2,0.8,1.9,1.0986122886681098,1,Tiền đạo,Europe,Europe,Bottom Tier
2,Borussia Mönchengladbach,Bundesliga,32,France,181,Centre-Forward,right,6.0,13.0,23.0,5.0,1812.0,11,4,3,0,1.4,75.6,0.5,2,6.76,1.7,0.5,1.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.1,0.0,0.3,0.9,0.6,1.5,1.2,0.6,0.4,0.1,0.3,0.0,0.1,0.9,0.1,0.7,0.3,24.7,1.1,0.5,17.5,5.5,1.4,0.8,0.0,0.0,0.0,0.0,1.4,0.3,0.2,1.0,0.3,0.3,0.5,1.9459101490553132,3,Tiền đạo,Europe,Europe,Lower Tier
3,Bayer 04 Leverkusen,Bundesliga,27,Spain,173,Central Midfield,right,20.0,49.0,15.0,10.0,1295.0,3,3,2,0,0.6,91.0,0.1,1,6.68,0.4,0.1,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.1,0.0,0.9,0.0,0.2,0.2,0.3,0.2,0.1,0.0,0.0,0.1,0.3,1.2,0.5,0.7,0.0,47.5,2.8,1.0,40.4,3.2,0.4,0.1,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.2,0.4,0.3,0.7,3.044522437723423,2,Tiền vệ,Europe,Europe,Mid-High Tier
4,Bayern Munich,Bundesliga,20,Germany,188,Defensive Midfield,both,50.0,49.0,16.0,2.0,1250.0,1,0,2,0,0.4,94.1,0.5,0,6.85,0.9,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.1,0.0,0.6,0.0,0.3,0.3,0.5,0.9,0.1,0.0,0.0,0.1,0.2,0.3,0.0,0.3,0.0,74.9,2.3,1.3,68.2,3.2,0.7,0.1,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.1,1.8,0.5,2.3,3.9318256327243257,2,Tiền vệ,Europe,Europe,Top Tier
5,Holstein Kiel,Bundesliga,26,Sweden,185,Right Winger,left,1.5,25.0,12.0,4.0,1047.0,5,2,3,0,1.4,63.7,1.0,1,6.82,2.8,1.0,1.8,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.9,0.2,0.0,0.9,1.6,1.2,2.8,0.8,1.2,0.3,0.0,0.2,0.1,0.2,0.9,0.0,0.9,0.1,15.0,0.4,1.0,9.2,4.4,1.9,1.1,0.0,0.0,0.0,0.0,1.4,0.6,0.0,0.8,1.4,0.6,2.1,0.9162907318741551,3,Tiền đạo,Europe,Europe,Bottom Tier
6,Borussia Dortmund,Bundesliga,34,Germany,195,Goalkeeper,right,0.8,13.0,2.0,0.0,180.0,0,0,0,0,0.0,63.7,0.0,0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,40.0,6.5,14.0,19.0,0.5,0.0,0.0,3.5,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0,Phòng ngự,Europe,Europe,Bottom Tier
7,VfB Stuttgart,Bundesliga,28,Germany,193,Goalkeeper,right,12.0,13.0,31.0,0.0,2790.0,0,1,0,0,0.0,73.4,0.1,0,6.44,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,34.6,6.5,8.9,18.9,0.3,0.0,0.0,2.6,0.1,1.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5649493574615367,0,Phòng ngự,Europe,Europe,Mid-Tier
8,TSG 1899 Hoffenheim,Bundesliga,23,Austria,180,Left-Back,left,6.5,37.0,18.0,4.0,1526.0,0,1,1,0,0.5,75.6,0.8,1,6.56,1.6,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.2,0.0,0.0,2.1,1.0,0.9,1.9,1.1,0.8,0.0,0.0,0.0,0.0,0.4,0.8,0.2,0.6,0.0,34.3,1.5,2.9,24.5,5.5,0.9,0.5,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.3,1.9,1.5,3.4,2.0149030205422647,1,Phòng ngự,Europe,Europe,Lower Tier
9,FC Augsburg,Bundesliga,26,France,176,Attacking Midfield,right,12.0,25.0,22.0,3.0,1901.0,9,2,4,0,1.8,83.2,0.5,3,6.97,1.2,0.5,0.7,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.6,0.2,0.0,0.3,1.8,1.5,3.3,1.3,1.0,0.4,0.0,0.3,0.1,0.6,0.7,0.0,0.6,0.1,21.9,0.5,0.4,17.7,3.3,2.9,1.7,0.0,0.0,0.0,0.0,1.8,1.0,0.0,0.8,1.5,0.6,2.1,2.5649493574615367,4,Tiền đạo,Europe,Europe,Mid-Tier
10,Borussia Dortmund,Bundesliga,18,Germany,186,Left-Back,left,1.0,37.0,1.0,4.0,134.0,0,0,0,1,0.0,91.6,0.4,0,5.97,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.6,0.2,0.2,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.6,0.0,16.6,0.4,0.6,14.8,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6931471805599453,2,Phòng ngự,Europe,Europe,Bottom Tier
11,Bayern Munich,Bundesliga,24,Canada,183,Left-Back,left,50.0,61.0,17.0,2.0,1562.0,1,2,0,0,0.9,91.1,0.5,0,7.08,0.9,0.5,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7,0.0,0.0,1.1,1.9,1.6,3.6,1.4,0.4,0.1,0.1,0.0,0.0,0.7,1.4,0.1,1.4,0.2,60.1,0.5,0.4,54.2,4.9,1.7,1.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.4,1.6,0.5,2.1,3.9318256327243257,0,Phòng ngự,American,Other,Top Tier
12,RB Leipzig,Bundesliga,27,Mali,178,Central Midfield,right,20.0,13.0,15.0,12.0,1256.0,0,1,7,0,0.6,81.3,1.1,0,6.53,2.0,1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.3,0.0,1.9,0.2,0.3,0.4,0.3,0.8,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,31.9,1.0,1.4,24.9,4.6,0.2,0.3,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.2,1.0,0.6,1.6,3.044522437723423,7,Tiền vệ,Africa,Africa,Mid-High Tier
13,VfB Stuttgart,Bundesliga,23,Belgium,187,Centre-Back,right,7.5,37.0,6.0,1.0,436.0,0,0,0,1,0.1,92.3,1.3,0,6.57,2.6,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.6,0.0,0.1,4.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,1.3,0.3,0.0,0.3,0.0,48.1,1.6,1.7,42.9,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.9,0.0,0.9,2.1400661634962708,2,Phòng ngự,Europe,Europe,Mid-Tier
14,Bayer 04 Leverkusen,Bundesliga,24,Morocco,180,Left Winger,left,22.0,37.0,5.0,12.0,622.0,2,0,2,0,1.1,81.9,1.1,0,6.49,2.4,1.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.0,0.2,0.9,0.8,1.7,0.5,0.5,0.1,0.0,0.1,0.0,0.0,0.4,0.1,0.4,0.4,15.9,0.1,0.2,12.9,2.7,1.1,0.4,0.0,0.0,0.0,0.0,1.1,0.2,0.1,0.8,0.7,0.4,1.1,3.1354942159291497,2,Tiền đạo,Africa,Africa,Mid-High Tier
15,SV Werder Bremen,Bundesliga,27,Germany,192,Centre-Back,right,3.0,13.0,13.0,7.0,1237.0,0,0,1,0,0.2,83.6,1.7,0,6.57,3.6,1.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.4,0.1,0.0,3.6,0.1,0.1,0.1,0.6,0.4,0.0,0.0,0.0,0.0,1.1,0.2,0.0,0.2,0.0,36.1,2.4,2.6,27.8,3.3,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,1.2,0.5,1.7,1.3862943611198906,1,Phòng ngự,Europe,Europe,Lower Tier
16,1.FSV Mainz 05,Bundesliga,28,Norway,185,Centre-Back,right,6.0,13.0,9.0,10.0,1009.0,1,1,1,1,0.4,81.4,1.8,0,6.42,3.2,1.8,1.4,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.0,0.3,0.1,0.1,3.6,0.0,0.1,0.1,0.3,0.8,0.1,0.0,0.1,0.0,0.4,0.1,0.0,0.1,0.0,24.1,1.1,2.5,18.5,2.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.4,0.9,0.2,1.1,1.9459101490553132,3,Phòng ngự,Europe,Europe,Lower Tier
17,VfL Wolfsburg,Bundesliga,25,Denmark,187,Right Winger,left,16.0,49.0,3.0,6.0,370.0,1,1,0,0,0.7,88.3,0.1,0,6.61,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.7,0.6,0.2,0.8,0.2,0.2,0.1,0.0,0.1,0.0,0.2,1.4,0.0,1.4,0.1,19.0,0.9,0.3,15.9,1.9,0.6,0.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.9,0.0,0.9,2.833213344056216,0,Tiền đạo,Europe,Europe,Mid-High Tier
18,1.FC Union Berlin,Bundesliga,25,Serbia,189,Centre-Forward,right,2.5,1.0,9.0,4.0,799.0,5,0,1,0,1.7,56.2,3.7,1,6.67,7.7,3.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.1,0.0,0.4,0.4,0.1,0.5,0.5,0.9,0.4,0.2,0.2,0.0,0.3,0.4,0.0,0.4,0.6,11.2,0.0,0.2,6.3,4.7,1.9,0.6,0.0,0.0,0.0,0.0,1.7,0.1,0.2,1.4,0.2,0.4,0.5,1.252762968495368,1,Tiền đạo,Europe,Europe,Bottom Tier
19,TSG 1899 Hoffenheim,Bundesliga,33,Croatia,177,Attacking Midfield,right,4.0,13.0,29.0,0.0,2520.0,11,5,3,0,2.1,83.8,0.2,2,6.73,0.9,0.2,0.7,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.4,0.1,0.0,0.3,0.8,0.6,1.3,0.9,0.4,0.4,0.1,0.3,0.0,0.2,1.4,0.2,1.2,0.3,36.2,1.3,0.7,29.1,5.1,1.6,1.2,0.0,0.0,0.0,0.0,2.1,0.5,0.2,1.4,0.5,0.2,0.7,1.6094379124341003,3,Tiền đạo,Europe,Europe,Lower Tier
20,SV Werder Bremen,Bundesliga,29,Portugal,186,Centre-Forward,right,5.0,1.0,4.0,3.0,377.0,1,0,1,0,2.0,73.1,1.7,0,6.29,3.4,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.1,0.0,0.4,2.1,0.1,2.3,1.0,0.6,0.1,0.0,0.1,0.0,0.0,0.7,0.0,0.7,0.3,15.4,0.1,0.1,11.1,4.0,1.9,1.3,0.0,0.0,0.0,0.0,2.0,0.4,0.0,1.6,0.3,0.1,0.4,1.791759469228055,1,Tiền đạo,Europe,Europe,Lower Tier
21,Holstein Kiel,Bundesliga,22,Eritrea,181,Left Winger,right,0.8,37.0,2.0,6.0,287.0,1,1,0,1,0.8,79.5,0.0,0,6.35,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.4,0.0,0.1,0.3,0.1,0.4,0.5,0.6,0.5,0.1,0.1,0.0,0.0,0.4,0.5,0.1,0.4,0.0,14.6,0.8,0.6,10.9,2.4,1.0,0.5,0.0,0.0,0.0,0.0,0.8,0.0,0.1,0.6,0.9,0.4,1.3,0.5877866649021191,2,Tiền đạo,Africa,Africa,Bottom Tier
22,VfB Stuttgart,Bundesliga,24,Germany,183,Defensive Midfield,left,38.0,37.0,29.0,1.0,2637.0,1,8,5,0,0.7,89.8,0.7,3,6.95,1.6,0.7,0.9,0.1,0.0,0.1,0.0,0.1,0.3,0.3,0.1,0.7,0.2,0.0,1.5,0.3,0.7,1.0,1.5,0.7,0.0,0.0,0.0,0.0,0.8,1.8,0.4,1.5,0.0,76.8,3.4,2.4,65.5,5.4,0.7,0.8,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.3,1.6,0.5,2.1,3.6635616461296463,5,Tiền vệ,Europe,Europe,Upper Tier
23,Eintracht Frankfurt,Bundesliga,23,Germany,180,Right Winger,right,10.0,37.0,15.0,12.0,1362.0,3,5,2,0,1.0,67.1,0.7,2,6.74,1.4,0.7,0.7,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.7,0.1,0.0,0.7,1.0,0.9,2.0,0.7,0.7,0.1,0.0,0.1,0.0,0.4,0.9,0.0,0.9,0.4,15.9,0.2,0.7,10.4,4.5,1.4,0.5,0.0,0.0,0.0,0.0,1.0,0.3,0.1,0.6,1.4,0.5,1.9,2.3978952727983707,2,Tiền đạo,Europe,Europe,Mid-Tier
24,1.FSV Mainz 05,Bundesliga,27,France,184,Right Midfield,right,10.0,13.0,30.0,0.0,2464.0,1,7,6,0,1.0,75.4,1.1,2,6.98,2.1,1.1,1.0,0.1,0.0,0.0,0.0,0.1,0.2,0.3,0.2,0.8,0.2,0.0,1.3,1.1,1.0,2.0,0.3,1.1,0.0,0.0,0.0,0.0,0.7,1.6,0.3,1.2,0.4,38.3,1.5,2.1,27.4,7.3,1.3,0.7,0.0,0.0,0.0,0.0,1.0,0.4,0.1,0.5,1.9,0.5,2.4,2.3978952727983707,6,Tiền vệ,Europe,Europe,Mid-Tier
25,SV Werder Bremen,Bundesliga,33,Germany,186,Centre-Back,left,1.0,1.0,20.0,7.0,1893.0,0,0,1,0,0.0,89.7,1.3,0,6.49,2.0,1.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.3,0.0,0.0,2.7,0.1,0.3,0.3,0.6,0.3,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.1,0.1,55.1,2.0,2.0,47.5,3.6,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,1.7,0.6931471805599453,1,Phòng ngự,Europe,Europe,Bottom Tier
26,VfL Bochum,Bundesliga,39,France,185,Defensive Midfield,right,0.5,1.0,13.0,5.0,1079.0,0,0,1,0,0.2,76.1,1.4,0,6.26,2.6,1.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.1,0.0,1.4,0.2,0.1,0.3,0.5,1.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.3,0.1,20.9,0.7,1.8,15.2,3.2,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.5,0.8,2.3,0.4054651081081644,1,Tiền vệ,Europe,Europe,Bottom Tier
27,TSG 1899 Hoffenheim,Bundesliga,26,Germany,194,Defensive Midfield,right,14.0,25.0,26.0,1.0,2328.0,1,2,7,0,1.0,83.1,1.9,0,6.98,3.3,1.9,1.4,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,1.0,0.3,0.0,3.5,0.6,0.4,1.1,1.1,1.3,0.0,0.0,0.0,0.0,1.5,0.8,0.3,0.6,0.0,50.3,2.5,2.9,39.3,5.6,0.7,0.3,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.4,2.3,0.5,2.7,2.70805020110221,7,Tiền vệ,Europe,Europe,Mid-Tier
28,RB Leipzig,Bundesliga,20,Norway,183,Left Winger,right,28.0,49.0,15.0,7.0,1455.0,3,3,0,0,1.0,77.6,0.3,0,6.79,0.8,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.9,0.0,0.0,0.5,2.1,1.7,3.8,1.2,0.6,0.1,0.0,0.1,0.0,0.4,0.8,0.0,0.8,0.4,21.5,0.4,0.8,16.3,4.0,1.6,1.3,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.6,1.4,0.8,2.2,3.367295829986474,0,Tiền đạo,Europe,Europe,Upper Tier
29,1.FSV Mainz 05,Bundesliga,22,Germany,175,Second Striker,both,4.0,13.0,5.0,22.0,754.0,2,2,2,0,1.1,71.4,0.6,0,6.25,1.5,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.3,0.9,0.4,1.3,0.5,0.5,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.3,0.4,6.9,0.0,0.1,4.9,1.9,1.2,0.9,0.0,0.0,0.0,0.0,1.1,0.2,0.1,0.8,0.4,0.3,0.6,1.6094379124341003,2,Tiền đạo,Europe,Europe,Lower Tier
30,1.FSV Mainz 05,Bundesliga,26,France,170,Right Winger,both,6.0,37.0,0.0,6.0,75.0,0,0,0,0,0.2,84.8,0.2,0,6.12,0.7,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.3,0.7,0.2,0.8,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,5.5,0.2,0.2,4.5,0.7,0.8,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.3,0.0,0.3,1.9459101490553132,0,Tiền đạo,Europe,Europe,Lower Tier
31,FC Augsburg,Bundesliga,26,Germany,186,Central Midfield,right,4.0,13.0,7.0,18.0,836.0,0,0,0,1,0.7,81.8,0.2,0,6.28,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.4,0.3,0.2,0.6,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.9,0.5,0.4,0.0,18.3,1.0,0.6,14.0,2.8,0.8,0.3,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.2,0.5,0.2,0.7,1.6094379124341003,2,Tiền vệ,Europe,Europe,Lower Tier
32,Bayer 04 Leverkusen,Bundesliga,22,Germany,174,Right-Back,right,7.0,37.0,7.0,10.0,634.0,0,1,0,0,0.1,82.5,0.5,0,6.4,1.1,0.5,0.6,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.4,0.0,0.0,1.2,0.9,0.3,1.2,0.4,0.9,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.1,0.0,16.5,0.4,0.7,13.2,2.2,0.7,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.8,0.3,1.1,2.0794415416798357,0,Phòng ngự,Europe,Europe,Mid-Tier
33,Eintracht Frankfurt,Bundesliga,24,Belgium,185,Centre-Back,left,24.0,49.0,28.0,0.0,2439.0,0,0,2,1,1.2,84.9,1.5,1,6.78,3.0,1.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.8,0.1,0.0,5.2,0.1,0.3,0.4,0.6,0.4,0.0,0.0,0.0,0.0,1.3,0.4,0.2,0.1,0.0,55.3,3.2,3.8,43.8,4.5,0.6,0.3,0.0,0.0,0.0,0.0,1.2,0.6,0.0,0.6,1.2,0.8,1.9,3.2188758248682006,4,Phòng ngự,Europe,Europe,Mid-High Tier
34,RB Leipzig,Bundesliga,20,Belgium,180,Defensive Midfield,right,22.0,1.0,16.0,9.0,1395.0,0,2,5,0,0.1,86.6,0.3,0,6.33,1.0,0.3,0.7,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.0,0.9,0.2,0.0,0.8,0.3,0.2,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.9,0.4,0.0,0.4,0.0,34.5,0.8,0.8,29.1,3.8,0.7,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,1.2,1.2,2.4,3.1354942159291497,5,Tiền vệ,Europe,Europe,Mid-High Tier
35,RB Leipzig,Bundesliga,18,Burkina Faso,191,Central Midfield,right,10.0,49.0,0.0,3.0,48.0,0,0,0,0,0.3,83.3,0.0,0,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,5.0,0.7,0.7,2.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,0,Tiền vệ,Africa,Africa,Mid-Tier
36,VfL Wolfsburg,Bundesliga,22,Belgium,183,Central Midfield,right,9.0,49.0,4.0,8.0,417.0,0,0,1,0,0.0,81.3,0.6,0,6.23,1.7,0.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.1,0.0,1.0,0.1,0.3,0.4,0.8,0.9,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.1,0.0,11.2,0.8,0.3,8.3,1.8,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,1.1,2.302585092994046,1,Tiền vệ,Europe,Europe,Mid-Tier
37,VfB Stuttgart,Bundesliga,28,Germany,191,Defensive Midfield,right,12.0,37.0,28.0,1.0,2357.0,1,4,8,1,0.4,87.0,1.7,0,6.73,3.1,1.7,1.4,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,1.0,0.3,0.0,1.7,0.2,0.4,0.7,1.9,1.1,0.0,0.0,0.0,0.0,0.9,0.4,0.0,0.4,0.0,56.7,1.7,1.5,47.7,5.9,1.0,0.5,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.1,1.8,1.0,2.8,2.5649493574615367,10,Tiền vệ,Europe,Europe,Mid-Tier
38,Eintracht Frankfurt,Bundesliga,21,Switzerland,197,Centre-Back,right,7.5,49.0,1.0,6.0,84.0,0,0,1,0,0.0,87.7,0.9,0,6.22,1.1,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,1.1,0.0,0.1,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,9.3,0.7,0.3,7.4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,2.1400661634962708,1,Phòng ngự,Europe,Europe,Mid-Tier
39,TSG 1899 Hoffenheim,Bundesliga,19,Mali,183,Left Winger,left,9.0,49.0,5.0,5.0,427.0,0,3,1,0,1.5,71.7,1.1,0,6.55,2.1,1.1,1.0,0.1,0.0,0.0,0.0,0.2,0.3,0.0,0.1,0.2,0.1,0.0,0.0,0.8,1.0,1.8,0.3,1.2,0.0,0.0,0.0,0.0,0.3,0.9,0.1,0.8,0.4,12.7,0.4,0.4,8.7,3.2,2.7,0.6,0.0,0.0,0.0,0.0,1.5,0.4,0.2,0.9,1.0,0.5,1.5,2.302585092994046,1,Tiền đạo,Africa,Africa,Mid-Tier
40,1.FC Heidenheim 1846,Bundesliga,28,Germany,187,Centre-Back,left,3.0,37.0,29.0,0.0,2454.0,0,0,9,0,0.4,83.2,2.1,0,6.55,3.8,2.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,1.1,0.3,0.0,4.1,0.2,0.2,0.4,1.6,1.9,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.1,0.0,39.9,2.0,3.6,31.2,3.1,0.8,0.2,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.2,2.3,0.8,3.1,1.3862943611198906,9,Phòng ngự,Europe,Europe,Lower Tier
41,Holstein Kiel,Bundesliga,27,Austria,188,Centre-Forward,right,2.0,25.0,7.0,10.0,768.0,1,2,1,0,1.1,65.8,2.5,0,6.51,4.2,2.5,1.8,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.6,0.6,0.5,1.1,0.9,0.8,0.1,0.0,0.1,0.0,0.1,0.7,0.0,0.7,0.8,11.5,0.2,0.1,7.4,3.9,1.4,0.7,0.0,0.0,0.0,0.0,1.1,0.2,0.1,0.8,0.3,0.1,0.4,1.0986122886681098,1,Tiền đạo,Europe,Europe,Bottom Tier
42,RB Leipzig,Bundesliga,28,Germany,185,Right-Back,right,17.0,37.0,10.0,5.0,935.0,0,2,3,0,0.7,76.7,0.6,1,6.68,0.9,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.4,1.3,0.2,0.0,1.8,0.3,0.6,0.9,0.6,0.9,0.0,0.0,0.0,0.0,1.0,0.7,0.2,0.5,0.0,26.6,1.3,1.7,19.1,4.5,0.6,0.4,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.2,2.1,0.9,3.0,2.8903717578961645,3,Phòng ngự,Europe,Europe,Mid-High Tier
43,RB Leipzig,Bundesliga,21,Slovenia,195,Centre-Forward,right,65.0,49.0,28.0,2.0,2257.0,12,5,0,1,2.2,67.6,2.2,3,6.96,3.9,2.2,1.7,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.3,0.0,0.0,0.7,1.2,1.3,2.4,0.6,0.9,0.4,0.0,0.3,0.1,0.2,0.6,0.0,0.6,0.6,18.7,0.2,0.2,12.5,5.9,1.9,1.7,0.0,0.0,0.0,0.0,2.2,0.7,0.1,1.3,0.2,0.3,0.5,4.189654742026425,2,Tiền đạo,Europe,Europe,Top Tier
