,Age,Height,Market_Value,Months_left,Sub_app,Mins,Goals,Assists,PS%,MotM,Rating,CrAss,CorAss,ThrbAss,FreAss,OthAss,BlkSh,BlkCr,BlkPs,TotClr,Fouled,Fouls,SYBGs,PAGs,OOBGs,TotInt,COF,UnTch,Dispo,SYBSh,Card,League_EPL,League_Laliga,League_Ligue1,League_SerieA,Foot_left,Foot_right,Position_Group_Tiền vệ,Position_Group_Tiền đạo,Continent_Grouped_Europe,Continent_Grouped_Other,Club_Group_Lower Tier,Club_Group_Mid-High Tier,Club_Group_Mid-Tier,Club_Group_Top Tier,Club_Group_Upper Tier
2032,27,179,2.0,25.0,4.0,354.0,0,0,73.2,0,6.52,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2033,26,182,6.0,25.0,9.0,1323.0,1,1,82.2,1,6.57,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.4,1.6,1.3,0.0,0.0,0.0,0.5,0.0,1.1,0.5,0.0,5,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
2034,23,192,3.5,49.0,5.0,425.0,3,1,55.1,1,6.7,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.7,1.0,1.6,0.2,0.0,0.0,0.0,0.0,2.3,0.9,0.1,2,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
2035,26,186,45.0,37.0,4.0,2061.0,24,5,78.2,4,7.15,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.5,0.9,0.8,0.6,0.0,0.0,0.1,0.2,2.5,1.3,0.4,2,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
2036,19,197,0.3,37.0,0.0,57.0,0,0,66.7,0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2037,21,183,5.0,49.0,5.0,81.0,0,0,81.0,0,6.13,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.4,0.0,1.0,0.2,0.0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
2038,19,179,0.5,49.0,7.0,83.0,1,0,57.1,0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.4,0.9,0.0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
2039,27,185,18.0,61.0,6.0,2014.0,0,2,83.6,1,6.8,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.8,1.9,0.6,1.0,0.0,0.0,0.0,1.0,0.1,0.9,0.5,0.0,4,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
2040,36,191,2.5,1.0,2.0,919.0,0,0,89.4,1,6.95,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,3.3,0.2,0.7,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2041,23,185,5.0,1.0,7.0,1431.0,3,0,70.8,2,6.54,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,1.0,1.6,1.0,0.1,0.0,0.0,0.5,0.1,1.3,0.9,0.0,4,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
2042,35,183,4.0,13.0,9.0,1514.0,3,2,84.2,2,6.55,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,1.1,0.7,1.0,0.1,0.0,0.0,0.2,0.2,0.5,0.2,0.0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
2043,25,185,14.0,49.0,2.0,1801.0,1,0,91.0,0,6.74,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.2,3.6,0.2,0.8,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.1,3,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
2044,28,187,9.0,25.0,1.0,857.0,0,0,87.8,0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,1.2,0.5,0.0,0.0,0.0,1.1,0.0,0.8,1.2,0.0,2,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
2045,31,171,10.0,25.0,3.0,2513.0,3,3,80.0,2,6.84,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,1.2,0.9,0.4,0.1,0.0,0.0,0.3,0.2,1.2,0.6,0.1,2,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
2046,21,185,7.0,37.0,3.0,558.0,0,0,72.4,0,6.24,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.9,0.5,0.7,0.0,0.0,0.0,0.6,0.0,0.4,0.2,0.0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
2047,22,187,20.0,37.0,10.0,1596.0,0,2,87.5,1,6.71,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.3,0.2,0.4,0.0,0.0,0.0,0.6,0.1,0.5,0.1,0.0,2,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
2048,23,174,1.6,25.0,5.0,266.0,0,0,87.7,0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.6,1.3,0.0,0.0,0.0,0.3,0.0,0.4,0.3,0.0,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
2049,31,188,2.0,13.0,0.0,1338.0,0,0,87.7,0,6.6,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,4.5,0.5,0.3,0.0,0.0,0.0,1.1,0.1,0.2,0.2,0.1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2050,32,183,1.0,1.0,9.0,765.0,1,0,77.7,0,6.22,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.9,0.3,0.5,0.0,0.0,0.0,0.5,0.0,0.3,0.2,0.1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2051,24,182,3.0,25.0,9.0,875.0,0,3,74.2,0,6.41,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.2,0.9,1.0,0.0,0.0,0.0,0.4,0.2,1.4,0.5,0.1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
2052,32,188,3.0,25.0,0.0,450.0,0,0,75.7,0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
2053,23,190,6.5,1.0,0.0,2217.0,0,0,80.0,0,6.71,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.7,3.8,0.9,0.9,0.0,0.0,0.0,1.7,0.0,0.7,0.5,0.1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
2054,29,177,20.0,49.0,1.0,2468.0,8,6,84.8,4,7.08,0.1,0.1,0.0,0.0,0.1,0.0,0.2,0.5,0.5,3.0,1.0,0.2,0.0,0.0,0.8,0.3,1.4,1.2,0.1,9,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
2055,26,185,32.0,37.0,0.0,2915.0,1,3,90.7,1,6.69,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.7,1.2,0.9,0.8,0.0,0.0,0.0,0.9,0.0,0.7,0.5,0.1,5,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
2056,21,193,4.0,49.0,2.0,144.0,0,0,84.1,0,6.31,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,2.3,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
2057,22,182,22.0,49.0,5.0,1444.0,5,2,87.0,3,6.94,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.7,1.4,0.5,0.0,0.1,0.0,0.3,0.0,2.1,1.0,0.0,2,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
2058,33,187,2.5,1.0,10.0,708.0,1,2,81.5,0,6.46,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.6,0.1,1.1,0.1,0.0,0.0,0.3,0.0,0.3,0.6,0.1,5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
2059,25,174,15.0,49.0,3.0,847.0,0,3,84.9,0,6.56,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.8,0.2,0.4,0.8,0.0,0.0,0.0,0.4,0.0,1.6,0.9,0.0,2,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
2060,28,179,8.0,1.0,4.0,235.0,2,1,74.2,0,6.67,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.3,0.0,0.0,0.3,0.2,0.8,0.5,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
2061,21,186,1.0,37.0,8.0,605.0,0,1,82.4,0,6.38,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.3,0.7,0.9,0.0,0.0,0.0,0.7,0.0,0.6,0.1,0.0,5,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
2062,32,185,5.0,25.0,18.0,576.0,1,1,81.7,0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
