,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
346,Sergi Roberto,Como,33 years old (07-02-1992),178cm,Spain,"Defender (Right), Midfielder (Centre, Right)",1.2,0.5,0.7,-,-,-,-,-,0.1,0.1,0.1,-,0.5,0.3,-,1.1,0.5,0.2,0.8,1.1,0.5,-,-,-,-,0.7,1.2,0.2,0.9,-,38.2,0.4,0.3,34.4,3.2,1.1,0.4,-,-,-,-,0.5,0.3,-,0.2,1.1,0.2,1.2,Sergi Roberto,8(5),697,-,1,4,-,0.5,90.9,0.5,-,6.42
347,Martin Erlic,Bologna,27 years old (24-01-1998),192cm,Croatia,Defender (Centre),2.6,1.4,1.1,-,-,-,-,-,-,-,0.6,0.1,0.1,-,-,1.1,0.1,-,0.1,1,1,-,-,-,-,0.3,-,-,-,-,32.1,2.7,1,26.6,1.9,0.3,-,-,-,-,-,0.9,0.1,-,0.7,0.3,0.1,0.4,Martin Erlic,4(3),303,-,-,-,-,0.9,91.1,1.4,-,6.42
348,Gabriel Charpentier,Parma Calcio 1913,25 years old (17-05-1999),188cm,France,Forward,2.6,1,1.6,-,-,-,-,-,0.2,0.2,-,0.2,0.3,0.1,-,0.7,0.4,0.2,0.6,1,1.3,0.1,-,0.1,-,-,0.7,-,0.7,-,5.1,0.2,0.1,2.9,1.9,1.6,0.4,-,-,-,-,0.9,0.3,0.1,0.5,0.4,0.1,0.5,Gabriel Charpentier,0(10),266,1,2,1,-,0.9,60.8,1,-,6.42
349,Lorenzo Montipò,Verona,29 years old (20-02-1996),191cm,Italy,Goalkeeper,0.4,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,26.8,6.4,14.8,5.6,-,-,-,2.8,0.2,1.5,1.2,-,-,-,-,-,0.1,0.1,Lorenzo Montipò,33,2970,-,-,-,-,-,44.7,0.3,1,6.41
350,Michel Adopo,Cagliari,24 years old (19-07-2000),187cm,France,Defensive Midfielder (C),1.5,0.8,0.7,-,-,-,-,-,-,-,0.1,-,0.4,0.1,-,0.6,0.6,0.6,1.2,0.4,0.9,-,-,-,-,0.7,0.5,-,0.5,-,27.1,0.6,0.6,22.2,3.6,0.9,0.8,-,-,-,-,0.6,0.2,0.1,0.3,1.5,0.3,1.8,Michel Adopo,23(8),2079,-,1,2,1,0.6,84.3,0.8,1,6.41
351,Odilon Kossounou,Atalanta,24 years old (04-01-2001),191cm,,"Defender (Centre, Right)",1.9,1.2,0.7,-,-,-,-,-,-,-,0.2,0.2,0.6,0.1,-,0.8,0.4,0.4,0.7,0.4,0.9,-,-,-,-,0.6,0.1,-,0.1,0.1,36.4,1.8,1,30.3,3.4,0.8,0.2,-,-,-,-,0.4,0.1,0.1,0.2,0.9,0.2,1.1,Odilon Kossounou,8(6),810,-,-,1,-,0.4,88,1.2,-,6.41
352,Mattia Felici,Cagliari,24 years old (17-04-2001),182cm,Italy,Midfielder (Left),0.9,0.4,0.6,-,-,-,-,-,0.2,0.2,-,0.2,0.6,0.1,-,0.2,2.1,1,3.1,0.9,1,-,-,-,-,0.4,0.5,0.1,0.4,0.2,12.7,0.1,0.2,9.3,3.1,1.4,0.5,-,-,-,-,0.6,0.1,0.1,0.4,0.9,0.3,1.2,Mattia Felici,9(9),875,-,3,1,-,0.6,74.2,0.4,-,6.41
353,Samuele Birindelli,Monza,25 years old (19-07-1999),175cm,Italy,"Defender (Right), Midfielder (Right)",1,0.3,0.7,-,-,-,-,-,-,-,0.1,0.4,0.5,0.1,-,0.9,0.3,0.2,0.5,0.8,0.9,0.1,-,0.1,-,0.5,0.9,0.2,0.6,0.1,20.6,0.8,0.9,15.8,3.1,1.4,0.6,-,-,-,-,0.7,0.1,-,0.6,1,0.3,1.3,Samuele Birindelli,14(3),1114,2,-,2,-,0.7,80.6,0.3,-,6.41
354,Junior Messias,Genoa,33 years old (13-05-1991),174cm,Brazil,"Midfielder (Centre, Right), Forward",2.4,0.9,1.6,-,-,-,-,-,0.1,0.1,0.1,-,0.1,0.1,-,0.9,1.8,0.6,2.4,1,0.5,0.1,-,0.1,-,0.4,0.4,-,0.4,-,11.4,0.5,0.5,7.5,2.9,1.7,0.3,-,-,-,-,1.1,0.5,-,0.6,0.7,0.4,1.1,Junior Messias,5(9),636,1,1,1,-,1.1,70.4,0.9,-,6.41
355,Luca Caldirola,Monza,34 years old (01-02-1991),186cm,Italy,"Defender (Centre, Left)",2.2,1.3,0.9,-,-,-,-,-,-,-,0.5,0.1,0.2,0.4,-,3.3,-,0.1,0.1,1.3,1.5,-,-,-,-,0.9,0.2,0.1,0.1,0.1,45.4,2.1,2.2,38.5,2.6,0.2,0.1,-,-,-,-,0.3,0.1,-,0.2,0.8,0.3,1.1,Luca Caldirola,8(3),745,-,-,4,-,0.3,89.4,1.3,-,6.41
356,Manuel Lazzari,Lazio,31 years old (29-11-1993),174cm,Italy,"Defender (Right), Midfielder (Right)",0.8,0.3,0.5,-,-,-,-,-,-,-,0.2,0.4,0.2,0.1,-,0.4,0.4,0.6,1,1.1,0.5,-,-,-,-,0.4,0.7,0.2,0.5,-,22.1,0.6,0.4,18.6,2.5,1.1,0.3,-,-,-,-,0.3,0.2,-,-,1.1,0.4,1.5,Manuel Lazzari,16(8),1385,-,1,3,-,0.3,86.8,0.3,-,6.41
