,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
383,Nicola Zalewski,Inter,23 years old (23-01-2002),175cm,Poland,"Defender (Left), Midfielder (Left, Right)",0.6,0.1,0.4,-,-,-,-,-,0.1,0.1,-,0.1,0.1,0.3,-,0.3,1,0.6,1.6,0.7,0.4,-,-,-,-,-,1,0.1,0.9,-,13.4,0.4,0.3,11.6,1.1,0.7,0.6,-,-,-,-,0.1,-,-,0.1,0.4,0.3,0.7,Nicola Zalewski,1(6),206,-,1,2,-,0.1,89.4,0.1,-,6.37
384,Domagoj Bradaric,Verona,25 years old (10-12-1999),178cm,Croatia,"Defender (Left), Midfielder (Left)",1.4,0.6,0.8,-,-,-,-,-,-,-,0.2,0.2,0.5,0.2,-,1.6,0.8,0.6,1.4,0.5,0.8,-,-,-,-,0.5,0.8,0.3,0.5,0.1,19.4,0.8,1.3,14.1,3.2,1.1,0.4,-,-,-,-,0.2,0.1,-,0.1,1.3,0.4,1.7,Domagoj Bradaric,21(4),1687,-,-,6,-,0.2,76.7,0.6,-,6.37
385,Alan Matturro,Genoa,20 years old (11-10-2004),189cm,Uruguay,Defender (Centre),2.5,1.2,1.3,-,-,-,-,-,-,-,0.2,-,0.5,0.2,-,2.9,0.2,0.2,0.4,0.4,0.8,-,-,-,-,1.1,0.2,0.1,0.2,0.2,24.8,1.2,2.2,18.6,2.8,0.5,0.2,-,-,-,-,0.3,0.1,-,0.2,0.8,0.8,1.7,Alan Matturro,9(4),896,-,-,2,-,0.3,79.8,1.2,-,6.37
386,Darko Lazovic,Verona,34 years old (15-09-1990),181cm,Serbia,"Midfielder (Centre, Left, Right)",0.8,0.3,0.5,-,-,-,-,-,-,0.1,0.1,0.1,0.6,-,-,1.4,0.6,0.3,0.8,0.2,0.3,-,-,-,-,0.4,0.7,0.2,0.5,0.2,14.3,0.5,1.1,9,3.6,0.5,0.3,-,-,-,-,0.7,0.3,-,0.4,0.8,0.7,1.4,Darko Lazovic,17(9),1435,1,3,-,-,0.7,66.8,0.3,-,6.37
387,Pietro Pellegri,Empoli,24 years old (17-03-2001),196cm,Italy,Forward,2.3,0.3,2,-,-,-,-,-,-,-,-,-,0.2,0.3,-,0.3,0.8,0.5,1.3,0.5,0.9,0.3,-,0.1,0.2,-,0.6,-,0.6,0.1,6.3,0.1,-,4.5,1.7,1.5,1.4,-,-,-,-,0.7,0.3,-,0.5,0.6,0.2,0.8,Pietro Pellegri,5(6),413,3,-,3,-,0.7,72.5,0.3,2,6.37
388,Karol Linetty,Torino,30 years old (02-02-1995),176cm,Poland,"Midfielder (Centre, Left, Right)",0.9,0.3,0.5,-,-,-,-,-,-,-,0.2,-,0.3,0.2,-,1.1,0.5,0.3,0.8,0.5,1.4,-,-,-,-,0.4,0.4,-,0.3,-,20.6,1.2,0.6,16.4,2.4,0.6,0.3,-,-,-,-,0.6,0.4,-,0.2,1.4,0.8,2.2,Karol Linetty,18(9),1525,1,-,6,-,0.6,85.4,0.3,-,6.37
389,Alessandro Bianco,Monza,22 years old (01-10-2002),173cm,Italy,Midfielder (Centre),1.2,0.4,0.8,-,-,-,-,-,-,-,0.5,0.1,0.8,0.3,-,1.4,0.7,0.6,1.3,1.5,1.3,-,-,-,-,0.6,0.5,-,0.5,0.1,42.4,2.8,1.7,34.1,3.7,1.1,0.7,-,-,-,-,0.8,0.6,-,0.2,1.5,0.4,1.9,Alessandro Bianco,25(5),2271,1,-,8,-,0.8,87.3,0.4,-,6.37
390,Saba Goglichidze,Empoli,20 years old (25-06-2004),193cm,Georgia,Defender (Centre),2.7,1,1.6,-,-,-,-,-,-,-,0.5,0.1,0.6,0.1,-,2.9,0.2,0.1,0.3,1,0.8,-,-,-,-,1.1,0.1,-,0.1,-,28.1,2.3,3.3,19.7,2.9,0.6,0.2,-,-,-,-,0.2,0.1,-,0.1,2.1,0.8,2.9,Saba Goglichidze,27(3),2374,-,1,2,1,0.2,78.2,1,-,6.37
391,Lassana Coulibaly,Lecce,29 years old (10-04-1996),183cm,Mali,"Midfielder (Centre, Left)",1.9,0.9,1,-,-,-,-,-,-,-,0.3,0.2,0.8,0.1,-,1,0.5,0.4,0.9,1.1,0.9,-,-,-,-,0.5,0.3,0.1,0.2,-,24.6,1.5,1.2,19,3,0.9,0.4,-,-,-,-,0.1,0.1,-,-,1.3,1,2.3,Lassana Coulibaly,26(8),2317,-,-,3,-,0.1,83.2,0.9,-,6.37
392,Pedro Pereira,Monza,27 years old (22-01-1998),185cm,Portugal,"Defender (Centre, Right), Midfielder (Left, Right)",1.9,0.8,1.2,0.1,-,-,-,-,-,0.1,0.3,0.3,0.4,0.3,-,1.9,0.3,0.4,0.8,0.3,1.4,-,-,-,-,0.5,0.4,0.1,0.3,-,26.6,1.1,1.6,20.8,3.2,0.8,0.6,-,-,-,-,0.4,0.1,-,0.3,1.5,0.6,2.1,Pedro Pereira,29(3),2451,1,3,9,-,0.4,82.2,0.8,-,6.36
393,Arthur Atta,Udinese,22 years old (14-01-2003),189cm,France,"Attacking Midfielder (Centre, Right)",1.3,0.5,0.8,-,-,-,-,-,-,-,0.2,0.1,0.1,0.1,-,0.5,1.1,0.9,2,0.5,0.5,-,-,-,-,0.3,0.5,-,0.5,-,19.3,0.6,0.8,15.3,2.6,1.2,0.7,-,-,-,-,1,0.4,-,0.5,0.8,0.2,1,Arthur Atta,9(15),1004,-,1,3,-,1,82.1,0.5,-,6.36
394,Alberto Moreno,Como,32 years old (05-07-1992),171cm,Spain,"Defender (Left), Midfielder (Left)",1.3,0.4,0.9,-,-,-,-,-,-,-,0.1,0.2,0.4,0.2,-,1.3,0.2,0.1,0.3,0.6,0.7,-,-,-,-,0.6,0.8,0.1,0.7,-,37.4,1.9,2.1,29.9,3.5,0.8,0.1,-,-,-,-,0.6,0.4,-,0.2,1.1,0.5,1.7,Alberto Moreno,19(2),1560,-,-,4,-,0.6,85,0.4,-,6.36
395,Youssef Maleh,Empoli,26 years old (22-08-1998),179cm,Italy,Attacking Midfielder (Centre),1.3,0.5,0.8,-,-,-,-,-,-,-,0.3,0.1,0.9,0.1,-,1,0.4,0.2,0.6,1.3,1.5,-,-,-,-,0.7,0.5,-,0.5,-,24.3,1.3,2.6,16.6,3.7,1.1,0.5,-,-,-,-,0.8,0.6,-,0.1,2,0.8,2.8,Youssef Maleh,17(5),1514,-,1,3,1,0.8,73.8,0.5,-,6.36
396,Yunus Musah,AC Milan,22 years old (29-11-2002),178cm,USA,"Midfielder (Centre, Right)",0.9,0.3,0.6,-,-,-,-,-,-,0.1,-,-,0.3,0.2,-,0.3,0.6,0.8,1.4,0.6,1.3,-,-,-,-,0.3,0.9,0.1,0.8,-,24,1,0.4,20.2,2.4,1.6,0.5,-,-,-,-,0.8,0.4,-,0.4,1,0.2,1.2,Yunus Musah,17(8),1416,-,2,5,-,0.8,88.2,0.3,-,6.36
397,Alessandro Circati,Parma Calcio 1913,21 years old (10-10-2003),190cm,Italy,Defender,2,1.3,0.8,-,-,-,-,-,-,-,1,0.3,0.3,0.3,-,7,-,-,-,0.5,0.8,-,-,-,-,0.5,-,-,-,-,42.5,1.5,2.3,35.8,3,0.8,0.5,-,-,-,-,-,-,-,-,1,-,1,Alessandro Circati,4,360,-,-,1,-,-,87.6,1.3,-,6.35
398,Amir Richardson,Fiorentina,23 years old (24-01-2002),197cm,France,Defensive Midfielder (C),1.3,0.7,0.7,-,-,-,-,-,-,-,-,-,0.4,0.2,-,1.1,0.3,0.4,0.7,0.6,1.2,-,-,-,-,0.2,0.3,-,0.3,-,19.4,0.5,0.5,16.7,1.8,0.7,0.4,-,-,-,-,0.3,0.1,-,0.1,1,0.4,1.5,Amir Richardson,6(17),798,-,-,5,-,0.3,88.4,0.7,-,6.35
399,Alessandro Deiola,Cagliari,29 years old (01-08-1995),189cm,Italy,Defensive Midfielder (C),2.3,1.2,1.1,-,-,-,-,-,-,-,0.4,0.1,0.4,0.2,-,1.2,-,0.1,0.1,0.4,1.1,-,-,-,-,0.5,0.1,-,0.1,-,17,0.8,0.8,12.2,3.3,0.5,0.4,-,-,-,-,0.6,0.3,0.1,0.2,1,0.7,1.8,Alessandro Deiola,14(11),1215,1,1,5,-,0.6,76.3,1.2,-,6.35
400,Patrick Ciurria,Monza,30 years old (09-02-1995),178cm,Italy,"Midfielder (Centre, Left, Right)",1.2,0.3,0.9,-,-,-,-,-,0.1,0.1,0.2,0.1,0.6,0.1,-,1.1,0.4,0.3,0.6,0.6,1,0.1,-,0.1,-,0.4,0.6,0.2,0.5,-,17.4,0.8,0.7,12.9,2.9,1,0.8,-,-,-,-,0.6,0.3,0.1,0.2,1.2,0.4,1.6,Patrick Ciurria,11(6),998,1,1,1,-,0.6,79.3,0.3,-,6.35
402,Pasquale Mazzocchi,Napoli,29 years old (27-07-1995),183cm,Italy,"Defender (Left, Right), Midfielder (Left, Right)",0.6,0.2,0.4,-,-,-,-,-,-,-,0.1,0.1,0.2,0.1,-,1.2,0.4,0.5,0.9,0.3,0.4,-,-,-,-,0.3,0.3,-,0.3,0.1,12.1,0.3,0.4,9.9,1.5,0.7,0.6,-,-,-,-,0.2,-,-,0.2,0.8,0.4,1.2,Pasquale Mazzocchi,8(11),687,-,-,2,-,0.2,83.9,0.2,-,6.35
403,Zito Luvumbo,Cagliari,23 years old (09-03-2002),171cm,Angola,"Attacking Midfielder (Centre, Left), Forward",0.8,0.3,0.6,0.1,-,-,-,-,-,0.1,-,0.1,0.2,0.1,-,0.1,1.3,1,2.3,1.9,1.7,0.1,-,0.1,-,0.1,0.5,0.1,0.4,0.3,9.2,0.3,0.4,6.3,2.1,2.6,1.2,-,-,-,-,0.8,0.2,-,0.6,0.3,0.5,0.9,Zito Luvumbo,16(7),1401,2,2,2,-,0.8,72.5,0.3,-,6.34
404,Marco Brescianini,Atalanta,25 years old (20-01-2000),188cm,Italy,Midfielder (Centre),0.8,0.4,0.4,-,-,-,-,-,-,0.1,-,-,0.5,-,-,0.2,0.6,0.3,0.9,0.3,0.8,0.1,-,0.1,-,0.1,0.2,-,0.2,0.1,13,0.2,0.3,10.4,2.1,1,0.8,-,-,-,-,0.7,0.1,0.2,0.4,0.6,0.1,0.7,Marco Brescianini,7(18),841,3,2,1,-,0.7,81.8,0.4,-,6.34
405,Pierluigi Gollini,Genoa,30 years old (18-03-1995),194cm,Italy,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.7,6.4,6.3,20,-,-,-,2.4,0.1,1.7,0.6,-,-,-,-,-,-,-,Pierluigi Gollini,7,630,-,-,1,-,-,80.8,-,-,6.34
406,Balthazar Pierret,Lecce,24 years old (15-05-2000),186cm,France,Defensive Midfielder (C),2,1,1.1,-,-,-,-,-,-,-,0.1,0.1,0.5,0.1,-,1.1,0.4,0.4,0.8,0.7,1,-,-,-,-,0.7,0.3,-,0.3,-,27.1,1.1,1.4,21.9,2.7,0.9,0.3,-,-,-,-,0.2,0.1,-,0.1,1.7,0.6,2.3,Balthazar Pierret,18(9),1555,-,-,2,-,0.2,84.6,1,-,6.34
407,Mattia Liberali,AC Milan,18 years old (06-04-2007),169cm,Italy,Forward,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,1,-,1,-,29,-,-,24,5,1,2,-,-,-,-,2,1,-,1,2,-,2,Mattia Liberali,1,62,-,-,-,-,2,82.8,1,-,6.34
408,Alessandro Marcandalli,Venezia,22 years old (25-10-2002),195cm,,Defender (Centre),3.4,1.7,1.7,-,-,-,-,-,-,-,0.4,0.7,0.4,0.3,-,3,0.1,-,0.1,-,1.1,-,-,-,-,0.3,-,-,-,-,18.7,1,1.9,12.9,3,0.6,-,-,-,-,-,0.3,-,0.1,0.1,1,0.4,1.4,Alessandro Marcandalli,5(2),344,-,-,2,-,0.3,74,1.7,-,6.34
410,Rafa Marín,Napoli,22 years old (19-05-2002),191cm,Spain,Defender (Centre),1,0.5,0.5,-,-,-,-,-,-,-,0.3,-,-,0.3,-,1,-,-,-,0.5,0.5,-,-,-,-,0.3,-,-,-,-,29.5,3.5,0.3,25.3,0.5,0.3,-,-,-,-,-,0.5,0.3,0.3,-,0.3,0.3,0.5,Rafa Marín,1(3),139,-,-,1,-,0.5,97.5,0.5,-,6.34
411,Liam Henderson,Empoli,29 years old (25-04-1996),183cm,Scotland,Attacking Midfielder (Centre),1,0.4,0.6,0.1,-,-,-,-,-,0.1,0.2,-,0.4,0.3,-,1.2,0.1,0.2,0.3,0.6,2.3,-,-,-,-,0.5,0.9,0.2,0.7,0.1,25.3,1.3,1.6,18.5,3.8,0.6,0.2,-,-,-,-,0.5,0.5,-,-,1.2,0.9,2.1,Liam Henderson,24(9),2158,-,3,10,-,0.5,78.4,0.4,-,6.34
412,Anas Haj Mohamed,Parma Calcio 1913,20 years old (26-03-2005),175cm,,Forward,0.9,0.5,0.4,0.1,-,-,-,-,0.1,0.1,0.1,-,0.1,0.3,-,0.3,0.7,0.3,0.9,0.7,0.4,0.1,-,-,0.1,0.3,0.6,-,0.6,-,9.6,0.3,0.5,7.3,1.4,0.7,0.1,-,-,-,-,0.5,0.1,-,0.3,0.2,0.1,0.3,Anas Haj Mohamed,3(12),448,1,2,4,-,0.5,79.9,0.5,-,6.33
413,Nicolò Zaniolo,Fiorentina,25 years old (02-07-1999),190cm,Italy,"Attacking Midfielder (Centre, Left, Right), Forward",0.6,0.3,0.4,-,-,-,-,-,0.1,0.1,-,-,-,0.3,-,-,0.7,0.4,1.1,1.2,0.6,0.1,-,0.1,-,0.1,0.5,0.1,0.4,-,7,0.1,0.2,6,0.7,1.3,1,-,-,-,-,0.8,0.2,0.1,0.5,-,0.1,0.1,Nicolò Zaniolo,0(14),344,2,2,4,-,0.8,86.7,0.3,-,6.33
414,Joaquín Correa,Inter,30 years old (13-08-1994),189cm,Argentina,"Attacking Midfielder (Centre, Left), Forward",1.3,0.3,0.9,-,-,0.1,-,-,0.1,0.1,-,-,0.1,0.2,-,0.2,0.1,0.1,0.2,0.7,0.4,0.1,-,0.1,-,-,0.5,-,0.5,0.1,13.9,0.3,-,11.8,1.8,0.5,0.2,-,-,-,-,0.5,0.1,0.1,0.3,0.5,0.5,1,Joaquín Correa,3(12),419,1,2,3,-,0.5,87,0.3,1,6.33
416,Pontus Almqvist,Parma Calcio 1913,25 years old (10-07-1999),183cm,Sweden,"Attacking Midfielder (Left, Right), Forward",0.9,0.3,0.6,-,-,-,-,-,-,-,-,-,0.4,0.2,-,0.3,1,0.7,1.7,0.5,0.5,-,-,-,-,0.7,0.3,-,0.3,0.1,9.7,0.1,0.1,7.1,2.2,1.1,0.4,-,-,-,-,0.9,0.3,-,0.6,0.6,0.3,0.9,Pontus Almqvist,10(19),1109,1,1,5,-,0.9,75.4,0.3,-,6.33
417,Noah Okafor,Napoli,24 years old (24-05-2000),185cm,Switzerland,"Attacking Midfielder (Left), Forward",0.6,0.2,0.5,-,-,-,-,-,-,-,-,-,0.1,-,-,0.1,1.2,1.1,2.3,0.5,0.5,0.1,-,0.1,-,0.2,0.4,-,0.4,0.1,8.3,0.1,0.2,6.6,1.4,1.1,0.8,-,-,-,-,1.2,0.2,-,1,0.2,0.1,0.3,Noah Okafor,5(6),413,1,-,-,-,1.2,81.3,0.2,-,6.33
418,Tommaso Baldanzi,Roma,22 years old (23-03-2003),176cm,Italy,"Attacking Midfielder (Centre, Right)",0.1,-,0.1,-,-,-,-,-,-,-,-,-,0.1,0.1,-,0.3,0.8,0.6,1.4,0.6,0.2,-,-,-,-,0.2,0.4,-,0.4,-,12.1,0.1,0.2,10.2,1.7,0.6,0.3,-,-,-,-,0.7,0.3,-,0.4,0.4,0.2,0.7,Tommaso Baldanzi,5(22),778,1,1,2,-,0.7,84.7,-,-,6.33
419,Fellipe Jack,Como,19 years old (12-01-2006),187cm,,Defender,1.1,0.6,0.6,-,-,-,-,-,-,-,0.3,-,-,0.3,-,0.7,0.1,-,0.1,0.1,0.7,-,-,-,-,0.6,0.1,-,0.1,-,13.3,0.9,0.9,9.7,1.9,0.7,-,-,-,-,-,-,-,-,-,1.3,0.3,1.6,Fellipe Jack,1(6),168,-,-,2,-,-,79.6,0.6,-,6.33
420,Filippo Terracciano,AC Milan,22 years old (08-02-2003),180cm,Italy,"Defender (Left), Midfielder (Right)",1.3,0.8,0.4,-,-,-,-,-,-,-,-,0.1,0.1,0.3,-,0.8,0.2,-,0.2,0.8,0.9,-,-,-,-,0.5,0.2,-,0.2,0.1,18.6,0.2,0.3,16.5,1.6,0.1,0.4,-,-,-,-,0.3,0.1,-,0.2,0.8,0.4,1.2,Filippo Terracciano,6(6),534,-,-,3,-,0.3,89.7,0.8,-,6.32
421,Marco Sportiello,AC Milan,32 years old (10-05-1992),192cm,Italy,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,4,4,17.5,0.5,-,-,2,-,0.5,1.5,-,-,-,-,-,-,-,Marco Sportiello,1(1),125,-,-,-,-,-,82.7,-,-,6.32
422,Anass Salah-Eddine,Roma,23 years old (18-01-2002),180cm,Netherlands,"Defender (Left), Defensive Midfielder (C)",0.3,-,0.3,0.3,-,-,-,-,-,0.3,-,-,-,-,-,0.7,1,-,1,0.3,0.7,-,-,-,-,0.3,0.7,-,0.7,-,27,0.3,0.7,23,3,0.7,0.3,-,-,-,-,0.7,-,0.3,0.3,0.3,-,0.3,Anass Salah-Eddine,2(1),153,-,1,-,-,0.7,86.4,-,-,6.32
423,Warren Bondo,AC Milan,21 years old (15-09-2003),177cm,France,Defensive Midfielder (C),0.7,0.3,0.4,-,-,-,-,-,-,-,0.3,0.1,0.5,0.2,0.1,0.3,1,1,2,1.8,1.6,-,-,-,-,0.3,0.3,-,0.3,0.1,30.2,1.1,0.6,26.1,2.6,1,1.5,-,-,-,-,0.7,0.6,-,0.1,1.8,0.3,2.1,Warren Bondo,19(1),1623,-,-,3,1,0.7,89.7,0.3,-,6.31
424,Matías Moreno,Fiorentina,21 years old (24-09-2003),193cm,,Defender (Centre),2,0.8,1.3,-,-,-,-,-,-,-,0.3,-,1,-,-,2.3,-,0.8,0.8,-,1,-,-,-,-,0.3,0.3,-,0.3,-,17.3,0.5,0.3,14,2.5,0.3,0.3,-,-,-,-,-,-,-,-,2,-,2,Matías Moreno,2(2),144,-,-,-,-,-,84.1,0.8,-,6.31
425,Tyronne Ebuehi,Empoli,29 years old (16-12-1995),187cm,Nigeria,"Defender (Left, Right)",1.3,1,0.3,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,0.3,0.3,0.7,-,-,-,-,-,0.7,-,-,-,-,8.3,-,0.3,5.3,2.7,1,0.7,-,-,-,-,-,-,-,-,0.7,-,0.7,Tyronne Ebuehi,0(3),63,-,-,-,-,-,64,1,-,6.31
426,Florinel Coman,Cagliari,27 years old (10-04-1998),182cm,Romania,Attacking Midfielder (Left),0.8,0.5,0.3,-,-,-,-,-,-,-,-,-,0.3,0.1,-,0.3,0.4,0.3,0.6,0.9,0.9,0.1,-,-,0.1,0.1,0.1,-,0.1,-,9.4,0.1,0.1,7.6,1.5,1.4,0.8,-,-,-,-,0.5,0.3,-,0.3,0.6,-,0.6,Florinel Coman,2(6),246,1,-,1,-,0.5,82.7,0.5,-,6.31
427,Antoine Bernede,Verona,25 years old (26-05-1999),178cm,France,Midfielder (Centre),1,0.5,0.5,-,-,-,-,-,-,-,0.1,-,0.4,0.2,-,0.3,0.2,0.1,0.3,0.3,1.5,0.1,-,0.1,-,0.5,0.9,0.2,0.7,-,18.8,1.1,1,13.2,3.5,1.2,0.5,-,-,-,-,0.4,0.3,-,0.1,1.4,0.6,2,Antoine Bernede,6(4),488,1,-,2,-,0.4,76.1,0.5,-,6.31
428,Grigoris Kastanos,Verona,27 years old (30-01-1998),176cm,Cyprus,"Midfielder (Centre, Right)",1.3,0.6,0.7,-,-,-,-,-,-,-,0.1,-,0.6,0.1,-,0.3,0.6,-,0.6,0.8,0.6,-,-,-,-,0.3,0.5,0.2,0.2,-,11.5,0.6,0.5,7.8,2.6,0.3,0.4,-,-,-,-,0.9,0.6,0.1,0.2,0.9,0.5,1.4,Grigoris Kastanos,8(17),850,1,1,3,-,0.9,72.9,0.6,-,6.31
430,Noah Okafor,Napoli,24 years old (24-05-2000),185cm,Switzerland,"Attacking Midfielder (Left), Forward",1,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,0.3,1.3,0.5,1.8,0.3,0.5,-,-,-,-,-,0.8,0.3,0.5,-,3.5,0.3,0.3,2.3,0.8,0.5,0.5,-,-,-,-,0.3,0.3,-,-,0.8,-,0.8,Noah Okafor,0(4),36,-,-,-,-,0.3,71.4,0.5,-,6.3
431,Jean-Daniel Akpa Akpro,Monza,32 years old (11-10-1992),180cm,Ivory Coast,"Defender (Right), Midfielder (Centre, Left, Right)",2.1,0.8,1.3,-,-,-,-,-,-,-,0.4,0.1,1.3,0.3,-,0.9,2,0.7,2.7,1,1.9,-,-,-,-,0.9,0.2,-,0.2,-,20.4,0.5,0.7,15.6,3.6,1.6,0.2,-,-,-,-,-,-,-,-,1.7,0.8,2.5,Jean-Daniel Akpa Akpro,8(2),612,-,-,3,-,-,78.9,0.8,-,6.3
432,Francesco Zampano,Venezia,31 years old (30-09-1993),177cm,Italy,"Defender (Right), Midfielder (Left, Right)",1.3,0.5,0.8,-,-,-,-,-,-,0.1,-,0.2,0.9,0.2,-,1.1,0.8,0.4,1.2,0.9,1.1,-,-,-,-,0.3,0.5,-,0.5,0.2,20.5,0.9,1.3,14.9,3.4,1.3,0.8,-,-,-,-,0.3,-,-,0.3,1.4,0.6,2,Francesco Zampano,17(5),1614,1,2,5,-,0.3,76.9,0.5,-,6.3
433,Pawel Dawidowicz,Verona,29 years old (20-05-1995),189cm,Poland,"Defender (Centre), Defensive Midfielder (C)",2.4,1.3,1.2,-,-,-,-,-,-,-,0.2,-,0.4,0.3,-,2.6,0.1,0.1,0.2,0.4,1.3,-,-,-,-,0.8,-,-,-,-,30.3,1.5,2.5,24,2.3,0.3,0.1,-,-,-,-,0.2,-,-,0.1,1.8,0.4,2.1,Pawel Dawidowicz,22(2),1685,-,-,6,1,0.2,84,1.3,-,6.3
434,Giorgio Scalvini,Atalanta,21 years old (11-12-2003),194cm,Italy,Defender (Centre),2.3,1.3,1,-,-,-,-,-,-,-,-,-,-,0.3,-,1.2,0.3,0.8,1.2,0.2,1.2,-,-,-,-,0.7,-,-,-,-,32.3,1.8,1.2,25.5,3.8,0.3,-,-,-,-,-,0.7,0.3,-,0.3,1.3,0.7,2,Giorgio Scalvini,4(2),274,-,-,2,-,0.7,84.5,1.3,-,6.29
435,Oussama El Azzouzi,Bologna,23 years old (29-05-2001),189cm,Netherlands,Defensive Midfielder (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,4,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Oussama El Azzouzi,0(1),7,-,-,-,-,-,75,-,-,6.29
436,Lucas Gourna-Douath,Roma,21 years old (05-08-2003),185cm,France,Defensive Midfielder (C),1,-,1,-,-,-,-,-,-,-,0.3,-,-,0.5,-,0.3,0.8,-,0.8,1,1.8,-,-,-,-,-,0.3,-,0.3,0.3,23,0.5,0.5,20.5,1.5,-,1.3,-,-,-,-,0.5,0.3,-,0.3,1.8,1,2.8,Lucas Gourna-Douath,2(2),189,-,-,2,-,0.5,91.3,-,-,6.29
437,Ivan Ilic,Torino,24 years old (17-03-2001),186cm,Serbia,Midfielder (Centre),1,0.3,0.8,-,-,-,-,-,-,-,-,-,-,0.3,-,0.4,0.5,0.3,0.8,1.3,0.7,0.1,-,0.1,-,0.3,0.4,-,0.4,0.1,26.9,0.8,0.5,22.6,2.9,1,0.6,-,-,-,-,0.6,0.4,-,0.3,0.2,0.3,0.4,Ivan Ilic,8(8),797,1,-,4,-,0.6,87.2,0.3,-,6.28
438,Stefano Sensi,Monza,29 years old (05-08-1995),168cm,Italy,Attacking Midfielder (Centre),0.4,0.2,0.2,-,-,-,-,-,-,-,0.2,-,0.1,-,-,0.2,0.2,0.4,0.7,0.6,0.3,0.1,-,0.1,-,0.3,-,-,-,-,25,1.7,1.2,20.7,1.4,0.1,0.2,-,-,-,-,0.7,0.6,-,0.1,0.9,0.1,1,Stefano Sensi,2(7),226,1,-,-,-,0.7,89.3,0.2,-,6.28
439,Isaak Touré,Udinese,22 years old (28-03-2003),206cm,,Defender (Centre),1.1,0.6,0.5,-,-,-,-,-,-,-,0.5,0.3,0.8,0.2,0.2,1.2,0.4,0.4,0.8,0.5,1.3,0.1,0.1,-,-,0.8,0.2,-,0.2,0.1,42.5,2.1,0.9,37.3,2.3,0.6,-,-,-,-,-,0.3,-,0.3,0.1,0.6,0.1,0.7,Isaak Touré,11(1),738,1,-,2,2,0.3,92.5,0.6,-,6.28
440,Konan N’Dri,Lecce,24 years old (27-10-2000),174cm,,"Midfielder (Left, Right), Forward",0.3,0.1,0.1,-,-,-,-,-,-,-,-,-,0.3,-,-,-,1,0.6,1.6,0.6,0.3,-,-,-,-,0.1,0.6,0.1,0.5,-,4.4,0.1,-,3.5,0.8,0.9,0.6,-,-,-,-,1,0.5,-,0.5,0.3,0.1,0.4,Konan N’Dri,0(8),193,-,-,-,-,1,82.9,0.1,-,6.28
441,Gianluca Caprari,Monza,31 years old (30-07-1993),176cm,Italy,"Attacking Midfielder (Centre, Left, Right), Forward",0.5,0.1,0.3,-,-,-,-,-,-,-,-,-,0.4,0.1,-,0.1,0.9,0.2,1.1,1.2,0.5,0.1,-,0.1,-,0.2,0.9,0.2,0.7,0.1,17.5,0.8,0.3,14.4,2,1.2,0.9,-,-,-,-,0.8,0.3,-,0.5,0.6,0.2,0.8,Gianluca Caprari,14(16),1359,2,1,3,-,0.8,87,0.1,-,6.28
443,Antoine Makoumbou,Cagliari,26 years old (18-07-1998),183cm,Congo,Defensive Midfielder (C),0.7,0.1,0.6,-,-,-,-,-,-,-,0.1,0.1,0.7,-,-,0.7,0.3,0.3,0.7,0.5,0.8,-,-,-,-,0.5,0.1,-,0.1,-,35.1,1.1,1.4,30.4,2.3,0.5,0.7,-,-,-,-,0.2,0.2,-,-,1.3,0.2,1.4,Antoine Makoumbou,23(6),1886,-,1,1,1,0.2,89.5,0.1,1,6.27
