,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Unnamed: 0,CLB,Main_position,Foot,Contract,Market_Value
308,Montpellier,19 years old (06-10-2005),"1,82m",Morocco,Forward,0.6,0.2,0.4,0.1,-,-,-,-,-,0.1,-,0.1,0.4,0.1,-,0.1,2.3,0.8,3.2,0.7,0.3,0.1,-,0.1,-,0.1,0.3,-,0.3,0.2,6.8,0.1,0.1,4.5,2.1,1.6,1,-,-,-,-,0.8,0.3,0.1,0.5,0.3,0.3,0.7,Othmane Maamma,2(10),354,1,1,1,-,0.8,67.9,0.2,-,6.13,Ligue1,229,Montpellier HSC,Right Winger,both,"Jun 30, 2027",€800k
309,Reims,21 years old (20-12-2003),"1,85m",Ivory Coast,Forward,3.5,1,2.4,-,-,-,-,-,-,-,0.1,-,0.4,0.3,-,0.4,1.5,0.8,2.4,1,1.1,0.2,0.1,0.1,-,0.1,0.5,-,0.4,0.5,14.1,0.1,0.1,11.6,2.3,2.6,1.6,-,-,-,-,1.1,-,0.2,0.9,0.8,0.4,1.3,Oumar Diakite,20(4),1614,4,1,6,-,1.1,83.4,1,-,6.46,Ligue1,432,Stade Reims,Centre-Forward,right,"Jun 30, 2028",€7.00m
310,Paris Saint-Germain,27 years old (15-05-1997),"1,78m",France,"Attacking Midfielder (Centre, Left, Right), Forward",0.3,0.1,0.2,-,-,-,-,-,0.2,0.2,-,-,0.1,0.1,-,-,1.9,1.5,3.3,0.5,0.3,0.8,0.1,0.6,-,0.3,2.3,0.2,2,0.3,34,1.2,0.5,27.2,5.2,1.4,1,-,-,-,-,3.3,0.8,0.3,2.2,0.4,0.3,0.7,Ousmane Dembele,19(9),1663,21,6,2,-,3.3,83.3,0.1,9,7.7,Ligue1,328,Paris Saint-Germain,Right Winger,both,"Jun 30, 2028",€75.00m
311,Nice,28 years old (07-01-1997),"1,85m",Netherlands,"Defender (Centre, Right), Defensive Midfielder (C)",1.4,0.8,0.6,-,-,-,-,-,-,-,0.3,-,0.3,0.2,-,1.4,0.3,0.3,0.6,0.3,0.8,0.1,-,0.1,-,1,0.6,0.1,0.5,-,25.8,1,0.9,21.1,2.7,0.6,0.5,-,-,-,-,0.6,0.2,0.1,0.2,1,0.3,1.3,Pablo Rosario,19(8),1623,3,1,5,1,0.6,85.9,0.8,-,6.52,Ligue1,244,OGC Nice,Defensive Midfield,right,"Jun 30, 2026",€8.00m
312,Strasbourg,18 years old (15-06-2006),"1,93m",Senegal,Midfielder,0.4,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.4,-,0.4,-,-,0.1,0.1,-,-,0.3,0.1,-,0.1,-,6.2,0.1,-,5.1,1,0.3,0.1,-,-,-,-,0.6,0.1,0.1,0.3,0.2,0.1,0.3,Pape Diong,1(8),76,1,-,-,-,0.6,83.9,0.4,-,6.2,Ligue1,370,RC Strasbourg Alsace,Defensive Midfield,right,"Jun 30, 2029",€800k
313,Nantes,33 years old (08-01-1992),"1,89m",Sweden,Goalkeeper,0.2,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,0.6,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,21.8,5,8.6,8.2,-,-,-,4.2,0.2,3,1,-,-,-,-,-,-,-,Patrik Carlgren,4(1),416,-,-,-,-,-,60.6,-,1,6.91,Ligue1,108,FC Nantes,Goalkeeper,right,"Jun 30, 2026",€800k
314,Lyon,27 years old (20-12-1997),"1,81m",Ivory Coast,Defensive Midfielder (C),-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,-,1.5,-,-,-,-,0.5,-,-,-,-,7.5,0.5,-,4.5,2.5,0.5,-,-,-,-,-,-,-,-,-,0.5,-,0.5,Paul Akouokou,0(2),19,-,-,1,-,-,66.7,-,-,5.79,Ligue1,272,Olympique Lyon,Defensive Midfield,right,"Jun 30, 2027",€800k
315,Auxerre,24 years old (07-06-2000),"1,82m",France,Defender (Right),0.9,0.6,0.3,-,-,-,-,-,-,-,-,-,0.6,0.1,-,1.3,0.8,0.3,1,1,0.3,-,-,-,-,1,0.6,0.1,0.5,-,17.2,1.2,1.6,11.2,3.3,0.9,0.4,-,-,-,-,0.4,0.1,-,0.3,1.9,0.7,2.6,Paul Joly,8(15),828,-,1,3,1,0.4,72,0.6,1,6.31,Ligue1,10,AJ Auxerre,Right-Back,right,"Jun 30, 2027",€2.00m
316,Nantes,27 years old (23-05-1997),"1,78m",Spain,Defensive Midfielder (C),0.9,0.3,0.6,-,-,-,-,-,0.1,0.1,0.1,0.1,0.7,0.2,-,1.4,0.1,0.1,0.2,0.5,0.8,-,-,-,-,0.6,0.6,0.2,0.3,-,50.3,4,3.3,38.7,4.2,0.4,0.3,-,-,-,-,0.2,0.1,-,0.1,1.3,0.8,2,Pedro Chirivella,25(2),2108,-,2,6,-,0.2,85,0.3,-,6.36,Ligue1,119,FC Nantes,Defensive Midfield,right,"Jun 30, 2026",€5.00m
317,Monaco,27 years old (02-04-1998),"1,90m",Switzerland,Goalkeeper,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.8,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,25.2,4.3,6.4,14.1,0.4,-,-,2.4,0.2,1.2,1.1,-,-,-,-,-,0.1,0.1,Philipp Kohn,16,1440,-,-,1,-,-,73,0.2,-,6.6,Ligue1,54,AS Monaco,Goalkeeper,right,"Jun 30, 2028",€4.00m
318,Saint-Etienne,28 years old (12-12-1996),"1,77m",France,Defender (Left),0.6,0.3,0.4,-,-,-,-,-,-,-,0.4,0.3,0.5,0.2,-,2.3,0.5,0.2,0.6,0.3,0.9,-,-,-,-,0.8,0.3,0.1,0.2,0.1,24.8,1.8,1.6,19,2.4,0.4,0.2,-,-,-,-,-,-,-,-,1.1,0.8,1.9,Pierre Cornud,7(4),576,-,-,2,-,-,83.9,0.3,-,6.13,Ligue1,87,AS Saint-Étienne,Left-Back,left,"Jun 30, 2026",€1.00m
319,Saint-Etienne,23 years old (15-01-2002),"1,89m",France,Defensive Midfielder (C),1.7,1.1,0.5,-,-,-,-,-,-,-,0.5,-,0.5,0.1,-,2.7,0.5,0.5,1,1.3,1.3,-,-,-,-,1.8,0.5,0.1,0.4,-,53.7,2.7,2.1,44.9,4,0.9,0.6,-,-,-,-,0.7,0.7,-,0.1,2,0.7,2.7,Pierre Ekwah,26,2309,1,-,3,-,0.7,88.6,1.1,1,6.76,Ligue1,91,AS Saint-Étienne,Defensive Midfield,left,"Jun 30, 2025",€5.00m
320,Brest,31 years old (25-05-1993),"1,85m",France,"Midfielder (Centre, Left, Right)",0.6,0.2,0.4,-,-,-,-,-,0.1,0.1,0.1,-,0.6,0.3,-,1.2,0.4,0.5,0.9,1.3,1.5,0.1,-,0.1,-,0.6,0.8,0.3,0.5,-,48.4,4.4,2.3,37.1,4.7,1.2,0.4,-,-,-,-,1.1,0.7,0.1,0.3,2.5,1.4,3.9,Pierre Lees Melou,15(3),1360,2,2,5,-,1.1,85.6,0.2,1,6.79,Ligue1,395,Stade Brestois 29,Defensive Midfield,right,"Jun 30, 2027",€7.00m
321,Marseille,29 years old (05-08-1995),"1,85m",Denmark,Midfielder (Centre),1.4,0.8,0.6,-,-,-,-,-,0.1,0.1,0.1,0.1,0.9,0.2,-,1.1,0.6,0.3,0.9,1.4,0.9,0.1,-,-,-,1.5,1.4,0.2,1.2,-,97.2,1.8,1.3,88.1,5.9,1,0.8,-,-,-,-,1.1,0.6,0.1,0.5,2,1.2,3.2,Pierre Emile Hojbjerg,27,2396,2,3,5,-,1.1,92.6,0.8,1,7.06,Ligue1,295,Olympique Marseille,Defensive Midfield,right,"Jun 30, 2025",€20.00m
322,Angers,38 years old (15-04-1987),"1,81m",France,"Defender (Left), Midfielder (Centre, Left, Right)",0.5,0.2,0.3,-,-,-,-,-,-,-,0.1,-,0.2,0.3,-,0.3,0.3,0.5,0.8,0.2,0.8,-,-,-,-,0.7,0.3,-,0.3,0.1,13.8,0.5,0.6,10.9,1.8,0.9,0.4,-,-,-,-,0.4,0.3,-,0.1,1.5,0.6,2.1,Pierrick Capelle,3(13),476,-,-,4,-,0.4,82.8,0.2,-,6.24,Ligue1,42,Angers SCO,Central Midfield,left,"Jun 30, 2025",€200k
