,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Unnamed: 0,CLB,Main_position,Foot,Contract,Market_Value
333,Brest,29 years old (29-03-1996),"1,72m",France,"Attacking Midfielder (Centre, Left, Right), Forward",0.8,0.3,0.4,-,-,-,-,-,-,0.1,-,-,0.7,-,-,0.2,0.9,0.7,1.7,0.7,0.4,0.2,-,0.2,-,0.3,1.3,0.7,0.6,-,21.2,0.8,0.7,15.4,4.3,1.5,0.7,-,-,-,-,0.8,0.1,-,0.6,1.3,0.6,1.8,Romain Del Castillo,12(11),1096,5,3,-,-,0.8,76.4,0.3,1,6.71,Ligue1,406,Stade Brestois 29,Right Winger,left,"Jun 30, 2027",€8.00m
334,Brest,26 years old (14-07-1998),"1,80m",France,"Attacking Midfielder (Centre, Left, Right)",0.9,0.4,0.5,-,-,0.1,-,-,0.1,0.1,-,-,0.4,0.1,-,0.2,1.3,0.9,2.1,1.2,0.3,0.2,0.1,0.1,-,0.2,0.5,0.2,0.4,0.1,17.4,0.2,0.2,14.8,2.3,0.7,0.4,-,-,-,-,1,0.2,0.1,0.8,0.7,0.3,0.9,Romain Faivre,10(10),900,3,2,2,-,1,86.2,0.4,-,6.58,Ligue1,401,Stade Brestois 29,Right Midfield,left,"Jun 30, 2025",€7.00m
335,Lens,32 years old (26-04-1993),"1,72m",France,"Defender (Right), Midfielder (Right)",1.6,0.7,0.9,-,-,-,-,-,0.1,0.1,0.2,-,1.3,0.3,-,1.5,0.8,0.6,1.4,1,0.9,0.1,-,0.1,-,0.9,0.6,-,0.6,0.3,42.2,1.5,1.1,33.6,6,1.2,0.4,-,-,-,-,0.7,0.3,0.1,0.3,2.3,0.9,3.2,Ruben Aguilar,12(3),1050,1,1,4,-,0.7,83.1,0.7,-,6.73,Ligue1,342,RC Lens,Right-Back,right,"Jun 30, 2026",€4.00m
336,Lille,35 years old (08-03-1990),"1,72m",France,"Midfielder (Centre, Left, Right), Forward",0.3,-,0.3,-,-,-,-,-,-,0.1,-,-,0.4,-,-,0.1,0.8,0.9,1.7,0.9,0.8,-,-,-,-,0.4,1,0.2,0.7,-,28.7,0.2,-,24.9,3.6,0.7,0.4,-,-,-,-,1.2,0.4,0.2,0.6,1.6,0.6,2.2,Remy Cabella,11(10),899,-,2,1,-,1.2,87.2,-,2,6.68,Ligue1,201,LOSC Lille,Attacking Midfield,right,"Jun 30, 2025",€3.00m
337,Lyon,28 years old (25-06-1996),"1,96m",France,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,3,3,22,-,-,-,4,-,2,2,-,-,-,-,-,-,-,Remy Descamps,1,90,-,-,-,-,-,89.3,-,-,6.21,Ligue1,260,Olympique Lyon,Goalkeeper,left,"Jun 30, 2027",€1.50m
338,Lens,22 years old (03-03-2003),"1,84m",,Forward,0.9,0.4,0.5,-,-,-,-,-,0.1,0.1,-,0.1,0.4,0.4,-,0.4,1,0.9,1.9,0.6,1.6,0.1,-,0.1,-,0.1,0.5,-,0.5,0.7,10.9,0.2,0.1,8.4,2.1,2.3,0.5,-,-,-,-,1,0.1,0.1,0.8,1.1,0.4,1.6,Remy Labeau Lascary,6(8),635,2,1,5,-,1,78.9,0.4,1,6.51,Ligue1,356,RC Lens,Centre-Forward,right,"Jun 30, 2028",€2.50m
339,Lyon,20 years old (26-03-2005),"1,75m",France,"Defender (Right), Midfielder (Right)",0.7,0.2,0.5,-,-,-,-,-,-,-,0.2,0.1,0.6,0.2,-,2.1,0.9,0.6,1.6,0.7,1.2,-,-,-,-,0.6,0.4,0.1,0.3,-,31.3,0.2,0.7,26.8,3.6,0.7,0.8,-,-,-,-,0.3,0.1,-,0.2,2,0.4,2.4,Sael Kumbedi,12(2),956,-,-,3,-,0.3,86.3,0.2,-,6.53,Ligue1,268,Olympique Lyon,Right-Back,right,"Jun 30, 2027",€6.00m
340,Nantes,22 years old (04-07-2002),"1,87m",Guinea,Defender (Centre),2.6,1.3,1.3,-,-,-,-,-,0.1,0.1,0.8,0.2,0.5,0.2,-,2.9,0.1,0.1,0.2,0.4,0.6,-,-,-,-,1.3,0.2,-,0.2,0.1,52.9,1.1,2.4,47,2.4,0.3,0.3,-,-,-,-,0.3,-,0.1,0.3,0.8,0.5,1.3,Saidou Sow,11(1),1019,-,1,2,-,0.3,90.9,1.3,-,6.25,Ligue1,111,FC Nantes,Centre-Back,right,"Jun 30, 2025",€6.00m
341,Strasbourg,22 years old (16-05-2002),"1,78m",Sweden,"Attacking Midfielder (Centre, Left), Forward",0.4,0.1,0.3,0.1,0.1,-,-,-,0.1,0.1,0.1,0.1,0.7,-,-,0.5,0.8,0.6,1.4,0.6,0.3,0.2,-,0.1,-,0.3,1.2,0.4,0.8,-,24.5,0.5,0.3,20.2,3.5,0.7,0.5,-,-,-,-,1,0.1,0.1,0.8,0.7,0.4,1.1,Sebastian Nanasi,25(3),1998,5,4,-,-,1,84.4,0.1,-,6.76,Ligue1,373,RC Strasbourg Alsace,Left Midfield,right,"Jun 30, 2029",€15.00m
342,Rennes,29 years old (07-05-1995),"1,85m",Ivory Coast,Midfielder (Centre),0.7,0.5,0.2,-,-,-,-,-,0.1,0.1,0.1,-,0.4,0.2,-,0.5,0.9,0.9,1.7,0.5,0.6,0.1,-,-,0.1,0.4,0.9,-,0.9,0.1,36.9,1.2,0.3,32.4,3,0.6,0.4,-,-,-,-,1.6,0.9,-,0.7,0.7,0.4,1.1,Seko Fofana,9(5),801,1,1,3,-,1.6,91.1,0.5,-,6.57,Ligue1,450,Stade Rennais FC,Central Midfield,right,"Jun 30, 2029",€12.00m
343,Paris Saint-Germain,18 years old (17-05-2006),"1,83m",France,Midfielder (Centre),0.6,0.1,0.5,-,-,-,-,-,0.1,0.1,0.2,0.1,0.3,0.1,-,0.4,0.8,0.6,1.5,0.8,0.8,0.1,-,0.1,-,0.2,0.5,0.1,0.4,-,19.1,0.4,0.1,16.6,2,0.9,1.1,-,-,-,-,1.2,0.4,0.1,0.7,1.2,0.2,1.5,Senny Mayulu,6(11),591,1,1,2,-,1.2,88.9,0.1,-,6.53,Ligue1,324,Paris Saint-Germain,Central Midfield,both,"Jun 30, 2027",€10.00m
344,Reims,27 years old (16-12-1997),"1,75m",Equatorial Guinea,"Defender (Left), Midfielder (Left)",1.5,0.7,0.9,0.1,-,-,-,-,-,0.1,0.3,0.4,0.6,0.2,-,3,0.7,0.5,1.1,0.7,0.8,-,-,-,-,0.6,0.7,0.1,0.6,-,31.4,0.7,2,26.4,2.2,1,0.6,-,-,-,-,0.9,0.4,-,0.5,1.1,0.5,1.6,Sergio Akieme,26(1),2300,1,3,5,-,0.9,86.5,0.7,1,6.63,Ligue1,416,Stade Reims,Left-Back,left,"Jun 30, 2028",€7.00m
345,Toulouse,24 years old (01-06-2000),"1,79m",Gabon,"Attacking Midfielder (Centre), Forward",0.9,0.2,0.6,-,-,-,-,-,-,0.1,-,-,0.5,0.1,-,0.1,0.9,0.4,1.3,0.7,0.5,0.1,0.1,-,-,0.1,0.4,-,0.4,0.2,8.2,0.1,0.1,6.1,2,0.9,0.6,-,-,-,-,0.7,0.1,0.1,0.5,0.7,0.4,1.1,Shavy Babicka,11(18),1176,4,2,2,-,0.7,74.5,0.2,-,6.3,Ligue1,151,FC Toulouse,Right Winger,right,"Jun 30, 2027",€3.00m
346,Angers,18 years old (15-12-2006),"1,85m",France,Forward,2.7,0.4,2.3,-,-,-,-,-,-,-,0.1,-,0.4,-,-,-,1.3,0.4,1.7,1.1,0.6,-,-,-,-,-,0.3,-,0.3,0.7,8.1,-,-,4.6,3.6,1.6,1.3,-,-,-,-,0.7,0.6,-,0.1,0.7,0.1,0.9,Sidiki Cherif,3(4),322,-,-,-,-,0.7,56.1,0.4,-,6.04,Ligue1,51,Angers SCO,Centre-Forward,right,"Jun 30, 2028",€1.00m
347,Auxerre,24 years old (09-04-2001),"1,84m",Ivory Coast,"Defender (Centre, Right)",2.2,1.2,1,-,-,-,-,-,0.1,0.1,0.9,0.2,0.9,0.2,-,4.1,0.3,0.4,0.7,1,1,0.2,0.1,0.1,0.1,1.4,0.2,0.1,0.2,-,38.2,2.3,2.7,29.9,3.4,0.6,0.3,-,-,-,-,0.5,0.2,0.1,0.3,1.7,0.5,2.2,Sinaly Diomande,19(1),1676,3,2,4,-,0.5,84.1,1.2,-,6.72,Ligue1,3,AJ Auxerre,Centre-Back,right,"Jun 30, 2027",€5.00m
348,Nice,24 years old (09-06-2000),"1,75m",France,"Attacking Midfielder (Centre, Left, Right)",0.4,0.1,0.3,-,-,0.1,-,-,-,0.1,0.1,-,0.7,0.1,-,0.2,0.8,0.4,1.2,0.8,0.6,0.2,0.2,0.1,-,0.6,0.9,0.2,0.8,0.1,19.6,0.7,0.5,15.1,3.3,0.8,0.6,-,-,-,-,0.9,0.3,0.2,0.4,0.9,0.5,1.4,Sofiane Diop,8(17),980,6,3,3,-,0.9,80.6,0.1,1,6.66,Ligue1,251,OGC Nice,Left Winger,right,"Jun 30, 2027",€12.00m
349,Nantes,26 years old (25-01-1999),"1,85m",Wales,"Defender (Right), Midfielder (Centre, Left, Right), Forward",0.9,0.2,0.7,0.1,-,-,-,-,-,0.1,-,0.1,0.4,0.1,-,0.8,0.6,0.3,1,0.6,0.4,-,-,-,-,0.3,1.3,0.4,0.9,0.1,15.4,0.5,0.9,11.3,2.7,1.1,1,-,-,-,-,0.4,0.1,-,0.2,0.5,0.3,0.9,Sorba Thomas,13(10),1165,1,2,2,-,0.4,76.6,0.2,-,6.4,Ligue1,127,FC Nantes,Right Winger,right,"Jun 30, 2025",€4.00m
350,Brest,21 years old (14-10-2003),"1,91m",France,Defender (Centre),2.1,1.1,1,-,-,-,-,-,-,-,0.3,-,0.7,0.1,-,3.7,0.3,-,0.3,0.1,1.7,-,-,-,-,0.7,0.1,-,0.1,-,45.3,4.6,2.9,35.6,2.3,0.4,-,-,-,-,-,0.6,-,-,0.6,0.6,-,0.6,Soumaila Coulibaly,5(2),438,-,-,1,-,0.6,88.6,1.1,-,6.49,Ligue1,385,Stade Brestois 29,Centre-Back,left,"Jun 30, 2025",€9.00m
351,Monaco,21 years old (08-10-2003),"1,90m",France,"Defender (Centre), Defensive Midfielder (C)",1.8,0.6,1.2,-,-,0.1,-,-,-,0.1,0.2,0.1,0.6,0.3,-,0.9,0.4,0.6,1.1,0.8,1.3,-,-,-,-,1.2,0.3,0.1,0.3,-,29.8,1.4,1.1,24.1,3.2,0.6,0.6,-,-,-,-,0.4,0.3,0.1,0.1,2.3,0.9,3.2,Soungoutou Magassa,10(8),898,-,1,5,-,0.4,85.6,0.6,-,6.6,Ligue1,65,AS Monaco,Defensive Midfield,right,"Jun 30, 2029",€12.00m
352,Rennes,40 years old (28-03-1985),"1,87m",France,Goalkeeper,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,0.1,0.1,0.1,-,-,-,-,-,-,0.1,0.1,-,-,25.4,4.8,8.3,12.1,0.2,0.1,0.1,1.8,0.1,1.1,0.6,-,-,-,-,-,0.1,0.1,Steve Mandanda,17,1486,-,-,-,-,-,66.4,0.1,-,6.34,Ligue1,437,Stade Rennais FC,Goalkeeper,right,"Jun 30, 2025",€700k
353,Strasbourg,22 years old (30-07-2002),"1,83m",France,Forward,1.8,0.8,1,-,-,-,-,-,-,-,-,-,0.4,0.1,-,0.1,0.7,0.5,1.2,0.7,0.7,-,-,-,-,0.1,0.2,-,0.2,0.1,7,0.1,0.1,4.7,2.1,1.1,0.6,-,-,-,-,0.7,0.3,0.1,0.3,0.4,0.3,0.7,Sekou Mara,6(17),637,1,1,2,-,0.7,68.8,0.8,-,6.21,Ligue1,381,RC Strasbourg Alsace,Centre-Forward,right,"Jun 30, 2029",€6.00m
354,Monaco,30 years old (16-01-1995),"1,72m",Japan,"Attacking Midfielder (Centre, Left, Right), Forward",1.6,0.6,1,-,-,-,-,-,0.1,0.1,-,0.1,0.8,0.1,-,0.5,0.9,0.4,1.3,0.7,1,0.2,0.1,0.1,-,0.3,1.3,0.1,1.3,0.4,22.5,0.6,0.4,16.1,5.5,1.8,0.7,-,-,-,-,1.8,0.4,0.3,1.1,1,0.9,1.9,Takumi Minamino,24(4),1987,5,3,4,-,1.8,74,0.6,1,6.67,Ligue1,71,AS Monaco,Left Winger,right,"Jun 30, 2027",€15.00m
355,Montpellier,24 years old (18-02-2001),"1,79m",France,"Midfielder (Centre, Left, Right), Forward",1.9,1,0.9,-,-,-,-,-,-,-,-,-,0.7,0.1,0.1,-,1,1.2,2.3,0.7,1.6,0.1,0.1,-,-,0.5,0.7,-,0.7,0.1,13.3,0.1,0.1,10.6,2.5,2,1.2,-,-,-,-,1.2,0.3,0.2,0.7,1.3,0.7,2,Tanguy Coulibaly,14(8),1242,2,-,2,2,1.2,80.5,1,-,6.33,Ligue1,228,Montpellier HSC,Right Winger,left,"Jun 30, 2026",€1.80m
356,Nice,28 years old (28-12-1996),"1,81m",France,Midfielder (Centre),0.7,0.2,0.6,-,-,0.1,-,-,0.1,0.1,-,0.1,0.5,0.1,-,0.4,1.2,1.4,2.6,1.6,0.6,0.1,-,0.1,-,0.8,1,0.1,0.9,-,26.1,0.8,0.4,22.2,2.6,1.6,1.2,-,-,-,-,0.6,0.1,0.2,0.3,1.9,0.4,2.4,Tanguy Ndombele,12(6),1134,1,2,2,-,0.6,88.3,0.2,-,6.81,Ligue1,247,OGC Nice,Central Midfield,right,"Jun 30, 2026",€10.00m
357,Lyon,23 years old (24-09-2001),"1,88m",USA,Defensive Midfielder (C),1,0.2,0.8,-,-,-,-,-,-,-,0.3,-,0.2,0.1,-,1.2,0.4,0.4,0.8,0.5,0.6,-,-,-,-,0.8,0.2,-,0.2,-,29,1.7,1,24.6,1.8,0.4,0.4,-,-,-,-,0.6,0.4,-,0.3,1,0.5,1.5,Tanner Tessmann,11(11),1069,1,-,3,-,0.6,90.6,0.2,-,6.5,Ligue1,270,Olympique Lyon,Defensive Midfield,right,"Jun 30, 2029",€6.00m
358,Reims,31 years old (30-09-1993),"1,76m",Malta,Attacking Midfielder (Centre),0.7,0.2,0.5,-,-,-,-,-,-,-,0.1,0.1,0.6,0.1,-,0.4,0.5,0.2,0.7,0.4,0.6,0.1,-,0.1,-,0.7,0.8,0.2,0.5,0.1,33.3,1.8,0.9,26.4,4.2,0.6,0.6,-,-,-,-,0.8,0.5,-,0.3,1.1,1.1,2.1,Teddy Teuma,9(8),749,1,-,1,-,0.8,84.5,0.2,-,6.26,Ligue1,425,Stade Reims,Central Midfield,left,"Jun 30, 2027",€4.00m
359,Nice,25 years old (25-05-1999),"1,88m",Nigeria,"Attacking Midfielder (Right), Forward",1.7,1,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,2.3,-,-,1.3,1,-,-,-,-,-,-,1,0.3,0.3,0.3,-,-,-,Terem Moffi,0(3),42,-,-,-,-,1,57.1,1,-,6.11,Ligue1,255,OGC Nice,Centre-Forward,left,"Jun 30, 2027",€15.00m
360,Auxerre,25 years old (27-08-1999),"1,91m",,"Attacking Midfielder (Centre, Right), Forward",3.7,2,1.7,-,-,-,-,-,-,-,0.1,-,0.1,-,-,0.4,0.2,0.1,0.3,0.2,0.7,0.1,-,0.1,-,0.1,0.4,-,0.4,0.3,7.5,-,0.1,4.8,2.6,0.7,0.3,-,-,-,-,1,0.1,0.1,0.7,0.1,0.1,0.2,Theo Bair,11(16),932,2,1,1,-,1,64,2,-,6.36,Ligue1,23,AJ Auxerre,Centre-Forward,right,"Jun 30, 2028",€1.80m
361,Lyon,24 years old (26-04-2001),"1,71m",Argentina,"Attacking Midfielder (Centre, Left, Right), Forward",0.2,0.1,0.2,-,-,-,-,-,0.3,0.3,-,-,0.2,0.2,-,0.4,0.2,0.5,0.7,0.3,0.5,0.1,-,0.1,-,0.4,1,0.2,0.8,0.1,37.8,1.8,0.5,32.9,2.5,0.8,0.5,-,-,-,-,1.5,0.7,-,0.8,0.8,0.9,1.7,Thiago Almada,6(7),691,1,4,2,-,1.5,91.9,0.1,-,6.52,Ligue1,275,Olympique Lyon,Attacking Midfield,right,"Jun 30, 2025",€25.00m
362,Monaco,28 years old (21-09-1996),"1,86m",Germany,"Defender (Centre, Left, Right), Midfielder (Right)",3.3,2,1.3,-,-,-,-,-,-,-,0.3,0.1,0.3,-,-,4.1,0.1,-,0.1,0.8,0.8,0.2,0.1,-,-,1.3,0.2,0.1,0.1,-,67,3.2,3.1,57.3,3.5,0.2,0.1,-,-,-,-,0.5,-,0.1,0.3,1.4,0.6,2,Thilo Kehrer,26,2295,4,-,1,-,0.5,90.1,2,1,6.98,Ligue1,57,AS Monaco,Centre-Back,both,"Jun 30, 2028",€15.00m
363,Strasbourg,33 years old (24-03-1992),"1,80m",France,"Defender (Left), Midfielder (Left, Right)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,0.5,-,-,-,-,0.5,-,-,-,-,1.5,-,1,-,0.5,-,-,-,-,-,-,-,-,-,-,0.5,-,0.5,Thomas Delaine,0(2),8,-,-,-,-,-,-,-,-,6.01,Ligue1,368,RC Strasbourg Alsace,Left-Back,left,"Jun 30, 2025",€800k
364,Lille,33 years old (12-09-1991),"1,91m",Belgium,"Defender (Right), Midfielder (Right)",1.6,1,0.6,-,-,-,-,-,-,-,0.2,0.3,0.4,0.1,-,1.7,0.4,0.4,0.9,0.1,0.9,0.1,-,0.1,-,1.1,0.4,-,0.4,0.1,39.6,1.6,1.7,31.4,4.9,0.8,0.4,-,-,-,-,0.9,0.2,-,0.7,1.9,0.6,2.4,Thomas Meunier,18(9),1656,2,-,4,-,0.9,83.2,1,2,6.75,Ligue1,192,LOSC Lille,Right-Back,right,"Jun 30, 2026",€2.00m
365,Auxerre,24 years old (02-02-2001),"1,85m",France,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.5,7.5,13.5,5.5,-,-,-,3,-,2,1,-,-,-,-,-,0.5,0.5,Theo De Percin,2,180,-,-,-,-,-,49.1,-,1,7.1,Ligue1,1,AJ Auxerre,Goalkeeper,right,"Jun 30, 2028",€300k
366,Montpellier,26 years old (20-10-1998),"1,76m",France,Defender (Left),2.1,1.2,0.9,-,-,-,-,-,-,-,0.3,0.1,0.9,0.2,-,2.1,0.5,0.7,1.2,0.5,0.5,0.1,0.1,-,-,0.7,0.5,0.1,0.3,0.1,16.1,0.3,0.7,11.8,3.3,1.3,0.5,-,-,-,-,0.5,-,0.1,0.4,1.6,1,2.6,Theo Sainte Luce,10(5),928,1,-,3,-,0.5,75.1,1.2,-,6.37,Ligue1,218,Montpellier HSC,Left-Back,left,"Jun 30, 2027",€800k
367,Lille,22 years old (23-07-2002),"1,75m",,Defender (Right),1.6,1,0.6,-,-,-,-,-,-,-,-,-,0.3,0.1,-,0.6,1.3,1.7,3,1.4,0.9,-,-,-,-,0.3,0.7,0.1,0.6,0.3,26.1,0.6,1,21.1,3.4,1.9,0.4,-,-,-,-,1.1,0.7,-,0.4,1.7,0.4,2.1,Tiago Santos,4(3),405,-,-,1,-,1.1,83.1,1,-,6.9,Ligue1,191,LOSC Lille,Right-Back,right,"Jun 30, 2029",€15.00m
368,Le Havre,22 years old (09-09-2002),"1,83m",France,"Defender (Centre, Right), Midfielder (Right)",1.4,0.5,0.8,-,-,-,-,-,-,-,0.3,0.1,0.6,0.1,-,2.3,0.8,0.8,1.6,0.6,0.5,0.1,0.1,-,-,0.6,0.2,-,0.2,0.1,23.1,0.5,1.2,19,2.4,1.1,0.7,-,-,-,-,0.4,0.1,0.1,0.2,1.8,0.5,2.3,Timothee Pembele,12(5),1036,1,-,2,-,0.4,84.5,0.5,-,6.4,Ligue1,162,Le Havre AC,Right-Back,right,"Jun 30, 2025",€2.50m
369,Nantes,29 years old (05-01-1996),"1,83m",Zimbabwe,"Attacking Midfielder (Centre, Left, Right), Forward",2.5,1.4,1.1,-,-,0.1,-,-,0.1,0.2,-,0.2,0.3,0.1,-,0.5,1,0.3,1.3,0.3,0.5,0.1,-,0.1,-,0.5,0.7,0.1,0.6,0.2,14.7,0.2,0.3,11,3.3,1.2,0.6,-,-,-,-,0.7,0.2,-,0.5,1.3,0.6,1.9,Tino Kadewere,6(5),508,1,2,1,-,0.7,75.9,1.4,1,6.58,Ligue1,131,FC Nantes,Centre-Forward,right,"Jun 30, 2027",€3.00m
370,Nice,21 years old (04-05-2003),"1,78m",France,"Defender (Right), Midfielder (Right)",0.7,0.6,0.2,-,-,-,-,-,-,-,0.2,0.1,0.4,0.1,-,0.9,0.4,0.2,0.6,0.4,0.4,0.1,-,0.1,-,0.9,0.7,0.2,0.6,-,16.7,0.7,0.6,13.9,1.7,0.6,0.4,-,-,-,-,0.6,0.3,-,0.4,1.3,0.3,1.6,Tom Louchet,7(13),718,1,-,1,-,0.6,86.8,0.6,1,6.56,Ligue1,249,OGC Nice,Right Midfield,both,"Jun 30, 2027",€3.00m
371,Lens,21 years old (18-06-2003),"1,80m",France,Midfielder,0.6,-,0.6,-,-,-,-,-,-,-,0.1,-,0.3,0.1,-,0.6,0.1,0.3,0.4,0.1,0.3,-,-,-,-,0.1,0.3,-,0.3,-,12.7,0.4,0.7,9.7,1.9,0.7,-,-,-,-,-,0.4,0.1,-,0.3,0.6,0.1,0.7,Tom Pouilly,0(7),110,-,-,1,-,0.4,79.8,-,-,6.12,Ligue1,345,RC Lens,Defensive Midfield,right,"Jun 30, 2027",€100k
372,Montpellier,33 years old (22-12-1991),"1,72m",France,Midfielder (Centre),1.6,0.8,0.9,0.1,0.1,-,-,-,-,0.2,-,-,0.6,0.1,-,0.7,1.5,1,2.4,2.2,0.8,0.1,-,0.1,-,0.5,2.5,1,1.5,-,44.7,6.5,3.4,27.8,7,1.6,1,-,-,-,-,1.7,1.3,-,0.4,1,0.9,1.9,Teji Savanier,26(2),2292,2,5,4,1,1.7,76.8,0.8,-,6.75,Ligue1,225,Montpellier HSC,Attacking Midfield,right,"Jun 30, 2026",€3.00m
373,Marseille,29 years old (11-01-1996),"1,82m",Switzerland,"Defender (Centre, Left), Defensive Midfielder (C), Midfielder (Left)",1.1,0.8,0.3,0.1,-,-,-,-,-,0.1,0.1,0.1,0.2,0.1,-,0.9,0.4,0.3,0.7,0.4,0.3,0.1,0.1,0.1,-,0.4,0.3,-,0.3,0.1,25,0.6,0.4,21.5,2.5,0.7,0.5,-,-,-,-,0.4,0.1,0.2,0.2,0.8,0.5,1.3,Ulisses Garcia,8(10),771,2,2,1,-,0.4,88.2,0.8,-,6.56,Ligue1,291,Olympique Marseille,Left-Back,left,"Jun 30, 2028",€4.00m
374,Marseille,30 years old (07-12-1994),"1,72m",France,"Defender (Right), Midfielder (Centre)",1.1,0.6,0.5,-,-,-,-,-,-,-,0.3,0.1,0.9,0.2,-,1.1,0.2,0.5,0.7,0.5,1.5,0.1,-,0.1,-,1.3,0.4,-,0.4,-,55.6,0.7,0.6,49.7,4.6,0.8,0.7,-,-,-,-,0.5,0.3,-,0.2,1.9,0.7,2.6,Valentin Rongier,16(7),1429,3,1,5,-,0.5,90.6,0.6,-,6.72,Ligue1,299,Olympique Marseille,Central Midfield,right,"Jun 30, 2026",€9.00m
375,Strasbourg,20 years old (23-07-2004),"1,70m",Argentina,"Defender (Left), Midfielder (Centre, Left)",1.3,0.6,0.6,-,-,0.1,-,-,0.1,0.2,0.1,0.8,0.4,0.2,-,1.4,0.9,0.7,1.6,2.2,1,-,-,-,-,0.9,0.5,0.2,0.3,-,46.7,1.5,1.8,38,5.5,1.7,0.7,-,-,-,-,0.8,0.6,-,0.2,2.5,0.7,3.3,Valentin Barco,11,913,-,2,2,-,0.8,84.4,0.6,-,7.03,Ligue1,366,RC Strasbourg Alsace,Left-Back,left,"Jun 30, 2025",€8.00m
376,Monaco,23 years old (21-06-2001),"1,73m",Brazil,"Defender (Right), Midfielder (Right)",1.8,0.8,1,-,-,0.1,-,-,-,0.1,0.2,0.2,1.4,0.2,-,2.2,0.9,0.9,1.8,0.8,1,-,-,-,-,1.5,0.9,0.1,0.8,-,42.9,3,2.7,31.2,6.1,1.4,0.5,-,-,-,-,0.8,0.2,-,0.6,2.8,0.7,3.5,Vanderson,23(3),1991,1,3,4,1,0.8,79.6,0.8,2,6.99,Ligue1,62,AS Monaco,Right-Back,right,"Jun 30, 2028",€20.00m
377,Nice,19 years old (14-01-2006),"1,94m",Nigeria,Forward,1.5,0.5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.5,0.5,-,-,-,-,-,-,-,-,-,0.3,4.3,0.3,-,3.5,0.5,0.3,-,-,-,-,-,0.5,-,0.3,0.3,-,-,-,Victor Orakpo,0(4),32,-,-,-,-,0.5,88.2,0.5,-,6.15,Ligue1,258,OGC Nice,Centre-Forward,right,"Jun 30, 2028",€500k
378,Toulouse,29 years old (08-10-1995),"1,85m",Switzerland,Midfielder (Centre),2.2,1.1,1.2,-,-,-,-,-,-,-,0.2,0.2,0.9,0.2,-,1.3,0.6,0.3,0.9,1.1,1.1,0.2,-,0.1,-,0.6,1.1,0.3,0.8,-,45.2,2.2,3.2,34.2,5.5,1.6,0.7,-,-,-,-,1.1,0.6,0.1,0.4,1.7,1,2.6,Vincent Sierro,24(2),2140,5,1,4,-,1.1,80.7,1.1,-,6.76,Ligue1,144,FC Toulouse,Central Midfield,right,"Jun 30, 2026",€4.00m
379,Paris Saint-Germain,25 years old (13-02-2000),"1,72m",Portugal,Midfielder (Centre),0.1,-,0.1,-,-,-,-,-,-,-,0.3,-,0.7,-,-,0.6,0.5,0.9,1.4,0.4,0.3,0.2,-,0.1,-,0.5,0.8,0.1,0.7,-,80.6,5.2,0.9,70.5,4,1.1,0.7,-,-,-,-,1,0.6,-,0.4,1.5,0.8,2.3,Vitinha,19(9),1946,5,1,1,-,1,94,-,1,6.99,Ligue1,321,Paris Saint-Germain,Central Midfield,right,"Jun 30, 2029",€60.00m
380,Montpellier,34 years old (08-02-1991),"1,76m",Tunisia,"Midfielder (Centre, Left, Right), Forward",1.1,0.4,0.8,-,-,-,-,-,-,-,-,-,0.4,0.1,-,0.3,0.6,0.2,0.8,1,0.8,-,-,-,-,0.2,0.6,0.1,0.6,0.2,10.1,0.7,0.4,6.9,2.1,0.8,0.9,-,-,-,-,1.2,0.8,-,0.5,0.9,0.5,1.3,Wahbi Khazri,10(18),1080,1,1,4,-,1.2,74.8,0.4,1,6.23,Ligue1,227,Montpellier HSC,Left Winger,right,"Jun 30, 2025",€1.50m
381,Lyon,25 years old (23-04-2000),"1,88m",France,Defender (Centre),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Warmed Omari,0(1),7,-,-,-,-,-,100,-,-,6.19,Ligue1,264,Olympique Lyon,Centre-Back,right,"Jun 30, 2025",€4.00m
