,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
12,Jonathan Clauss,Nice,32 years old (25-09-1992),178cm,France,"Defender (Right), Midfielder (Left, Right)",1,0.6,0.4,0.2,0.1,-,-,-,0.1,0.3,0.1,0.2,0.7,0.3,-,2.4,0.6,0.4,1,0.4,1,0.1,-,0.1,-,1.8,2.1,0.7,1.4,-,36.8,1,1.9,27.7,6.2,1.2,0.3,-,-,-,-,1,0.3,-,0.7,1.9,1,2.9,Jonathan Clauss,24(1),2047,3,8,7,-,1,78,0.6,3,7.25
13,Désiré Doué,Paris Saint-Germain,19 years old (03-06-2005),181cm,France,"Attacking Midfielder (Centre, Left, Right)",0.6,0.3,0.4,0.1,-,0.1,-,-,0.1,0.2,-,-,0.7,-,-,0.3,2.4,1.8,4.2,1.3,1,0.2,-,0.2,-,0.4,1.9,0.1,1.8,-,33.6,0.8,0.7,28.1,4.1,1.7,1.1,-,-,-,-,1.9,0.6,-,1.3,1.5,0.8,2.3,Désiré Doué,17(11),1599,6,6,1,-,1.9,85.8,0.3,2,7.23
14,Jérémy Jacquet,Rennes,19 years old (13-07-2005),188cm,France,Defender (Centre),3.3,2.1,1.2,-,-,-,-,-,0.1,0.1,0.3,0.2,0.6,-,-,4.6,0.3,0.6,0.9,0.7,1.2,-,-,-,-,2.3,0.4,-,0.4,-,47.3,2.8,1.8,38,4.8,0.4,0.3,-,-,-,-,0.9,-,0.1,0.8,2.4,0.8,3.2,Jérémy Jacquet,9,778,-,1,-,-,0.9,86.2,2.1,2,7.2
15,João Neves,Paris Saint-Germain,20 years old (27-09-2004),174cm,Portugal,Defensive Midfielder (C),1.2,0.8,0.4,0.1,-,-,-,-,0.2,0.3,0.3,0.1,0.7,-,-,0.7,0.5,0.6,1.1,1.1,0.6,0.1,-,0.1,-,0.8,1.2,0.2,1,0.1,55.2,2.3,0.6,48.6,3.7,0.9,0.6,-,-,-,-,1,0.2,0.1,0.6,2.3,0.6,2.9,João Neves,20(7),1730,3,8,1,-,1,92.2,0.8,4,7.18
16,Evann Guessand,Nice,23 years old (01-07-2001),185cm,France,"Attacking Midfielder (Centre, Left, Right), Forward",2,0.9,1.1,-,-,0.1,-,-,0.1,0.2,0.1,0.1,0.7,0.1,-,0.4,1.7,1.4,3.1,2,1.4,0.4,0.1,0.3,-,0.5,1,-,1,0.3,16.5,0.1,0.2,12.8,3.5,2.3,2,-,-,-,-,1.9,0.2,0.2,1.5,1.3,0.2,1.5,Evann Guessand,28(3),2435,11,7,2,-,1.9,78.1,0.9,5,7.16
17,Dilane Bakwa,Strasbourg,22 years old (26-08-2002),180cm,France,"Midfielder (Centre, Left, Right)",0.7,0.4,0.3,0.1,-,-,-,-,0.1,0.3,-,0.1,0.7,0.1,-,0.9,2.5,1.6,4.1,2.5,1,0.2,-,0.1,0.1,0.4,1.7,0.6,1,0.1,30.1,1.7,1,22.7,4.8,1.9,1.2,-,-,-,-,1.8,1,-,0.8,0.9,0.4,1.3,Dilane Bakwa,26(1),2270,5,8,4,-,1.8,80.8,0.4,5,7.16
18,Khvicha Kvaratskhelia,Paris Saint-Germain,24 years old (12-02-2001),183cm,Georgia,"Attacking Midfielder (Centre, Left, Right), Forward",0.5,0.2,0.3,0.1,-,-,-,-,0.2,0.2,-,0.1,0.5,-,-,0.2,2,1.5,3.5,1.4,0.7,0.2,-,0.2,-,0.2,1.7,0.2,1.5,-,35.1,0.5,0.3,30.6,3.7,1.2,1.8,-,-,-,-,2.1,1,0.2,0.9,1.5,0.8,2.2,Khvicha Kvaratskhelia,10(3),830,2,3,-,-,2.1,88.6,0.2,2,7.14
19,Ludovic Blas,Rennes,27 years old (31-12-1997),180cm,France,"Midfielder (Centre, Left, Right), Forward",1.9,0.5,1.4,0.1,-,-,-,-,0.1,0.3,0.1,-,0.5,0.2,-,0.3,2.6,1.5,4.1,1.8,1.1,0.2,-,0.2,-,0.5,1.7,0.6,1.1,-,27.8,1.3,0.7,21.3,4.5,2.6,1.5,-,-,-,-,2,0.6,-,1.3,1.3,0.7,2,Ludovic Blas,23(3),2051,6,7,6,-,2,81.3,0.5,2,7.11
20,Corentin Tolisso,Lyon,30 years old (03-08-1994),181cm,France,"Defender (Right), Midfielder (Centre, Right)",3.8,1.8,2,-,-,-,-,-,0.1,0.1,0.4,0.1,1.3,0.1,-,1.2,0.3,0.3,0.6,1.6,1.5,0.2,0.1,0.1,-,0.7,1,-,1,0.3,48.7,1.7,1.3,40.2,5.5,1,0.6,-,-,-,-,1.7,0.5,0.3,0.9,1.8,1,2.8,Corentin Tolisso,26(4),2234,7,4,4,-,1.7,86,1.8,-,7.11
21,Lee Kang-In,Paris Saint-Germain,24 years old (19-02-2001),173cm,South Korea,"Midfielder (Centre, Left, Right), Forward",0.5,0.1,0.4,0.1,-,-,-,-,0.1,0.2,-,-,0.3,-,-,0.1,0.8,1,1.8,0.8,0.6,0.2,-,0.2,-,0.1,1.9,0.3,1.6,-,38.5,1.4,0.4,33.9,2.8,0.8,0.8,-,-,-,-,1.4,0.6,-,0.8,0.8,0.6,1.4,Lee Kang-In,17(11),1533,6,6,1,-,1.4,91.8,0.1,2,7.1
22,Théo De Percin,Auxerre,24 years old (02-02-2001),185cm,France,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.5,7.5,13.5,5.5,-,-,-,3,-,2,1,-,-,-,-,-,0.5,0.5,Théo De Percin,2,180,-,-,-,-,-,49.1,-,1,7.1
23,Benjamin André,Lille,34 years old (03-08-1990),180cm,France,"Defender (Right), Midfielder (Centre, Left, Right)",5.9,3.1,2.8,-,-,-,-,-,0.1,0.1,0.2,0.2,1.3,0.4,-,1.8,0.5,0.3,0.8,1.7,1.7,-,-,-,-,1.7,0.7,0.1,0.6,0.1,63,3.3,2,49.6,8.1,1.6,1.1,-,-,-,-,0.5,0.1,-,0.4,3.4,1.4,4.8,Benjamin André,28,2513,-,3,12,-,0.5,84,3.1,3,7.09
24,Jubal,Auxerre,31 years old (29-08-1993),190cm,Brazil,Defender (Centre),3.6,2.6,1,-,-,-,-,-,-,-,1.2,0.1,0.9,0.2,-,6.6,-,0.1,0.1,0.7,0.9,0.2,0.1,0.1,-,0.8,0.2,-,0.2,-,33.7,2.2,2.8,26.8,1.9,0.3,0.1,-,-,-,-,1.1,0.2,0.2,0.7,2.1,0.4,2.5,Jubal,28,2463,6,-,6,-,1.1,86,2.6,2,7.09
25,Djordje Petrovic,Strasbourg,25 years old (08-10-1999),194cm,Serbia,Goalkeeper,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,0.1,-,1,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,46.3,5.7,9.3,30.8,0.6,-,-,3.8,0.3,2.6,0.9,-,-,-,-,-,-,-,Djordje Petrovic,28,2520,-,-,2,-,-,78.6,0.2,4,7.08
26,Diego Moreira,Strasbourg,20 years old (06-08-2004),179cm,Portugal,"Defender (Left), Midfielder (Left)",2,0.9,1,0.1,-,-,-,-,0.1,0.2,0.1,0.2,0.7,0.1,-,1.9,2.2,2,4.2,1.1,0.9,0.1,-,0.1,-,1.1,1,0.2,0.8,0.1,34.9,1,0.8,27.4,5.7,2.1,0.9,-,-,-,-,0.8,0.2,0.1,0.6,1.3,0.8,2.1,Diego Moreira,26(3),2382,2,7,4,1,0.8,81.2,0.9,4,7.07
27,Adrien Rabiot,Marseille,30 years old (03-04-1995),188cm,France,"Midfielder (Centre, Left)",2,1.1,0.9,-,-,-,-,-,0.1,0.1,-,-,0.7,0.2,-,1.1,0.9,0.9,1.8,1.1,2,0.3,0.1,0.2,-,0.8,0.8,0.1,0.8,0.4,52.5,0.6,0.8,45.3,5.7,1.7,1.2,-,-,-,-,1.4,0.3,0.2,0.9,1.7,0.4,2.2,Adrien Rabiot,24(2),2213,7,3,4,-,1.4,87.5,1.1,1,7.06
28,Moses Simon,Nantes,29 years old (12-07-1995),168cm,Nigeria,"Midfielder (Centre, Left, Right), Forward",1.4,0.2,1.2,0.1,-,-,-,-,0.2,0.3,-,-,0.4,0.1,-,0.4,2.5,2,4.5,1.6,0.3,0.2,-,0.2,-,0.4,1.9,0.3,1.6,0.3,17.7,0.6,0.7,12.7,3.8,2,1.8,-,-,-,-,1.4,0.3,-,1.1,0.6,0.5,1.1,Moses Simon,28(1),2359,7,9,2,-,1.4,74.9,0.2,4,7.06
29,Lilian Brassier,Rennes,25 years old (02-11-1999),186cm,France,"Defender (Centre, Left)",2.8,2.3,0.5,-,-,-,-,-,-,-,0.9,0.2,0.5,-,-,4.3,0.2,0.2,0.4,1,0.5,0.1,0.1,-,-,1.8,0.5,0.1,0.4,-,63.6,3.5,4,51.5,4.6,0.5,0.1,-,-,-,-,1.2,0.3,0.3,0.6,0.9,0.2,1.1,Lilian Brassier,11,966,1,-,-,-,1.2,86.4,2.3,-,7.06
30,Pierre-Emile Højbjerg,Marseille,29 years old (05-08-1995),185cm,Denmark,Midfielder (Centre),1.4,0.8,0.6,-,-,-,-,-,0.1,0.1,0.1,0.1,0.9,0.2,-,1.1,0.6,0.3,0.9,1.4,0.9,0.1,-,-,-,1.5,1.4,0.2,1.2,-,97.2,1.8,1.3,88.1,5.9,1,0.8,-,-,-,-,1.1,0.6,0.1,0.5,2,1.2,3.2,Pierre-Emile Højbjerg,27,2396,2,3,5,-,1.1,92.6,0.8,1,7.06
