,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
43,Jonathan David,Lille,25 years old (14-01-2000),175cm,Canada,"Attacking Midfielder (Centre), Forward",1.9,0.6,1.3,-,-,-,-,-,0.1,0.1,0.1,-,0.4,0.1,-,0.3,0.6,0.7,1.2,1.1,0.8,0.6,0.2,0.4,-,0.1,1.1,-,1.1,0.2,20.9,0.3,0.1,17,3.4,2.1,1.3,-,-,-,-,2.2,0.3,0.3,1.6,0.7,0.3,1,Jonathan David,25(4),2306,16,4,4,-,2.2,83,0.6,5,7.0
44,Hicham Boudaoui,Nice,25 years old (23-09-1999),175cm,Algeria,"Midfielder (Centre, Right)",1.9,0.6,1.3,-,-,0.1,-,-,-,0.1,0.4,-,1,0.3,-,1.6,1.5,0.8,2.3,1.7,1.5,0.1,-,0.1,-,0.8,0.8,-,0.7,-,38.7,1.4,0.9,31.3,5.1,1.2,0.8,-,-,-,-,1.5,0.6,0.1,0.8,2.7,0.8,3.5,Hicham Boudaoui,24(2),2182,2,2,9,-,1.5,84.5,0.6,-,6.99
46,Vitinha,Paris Saint-Germain,25 years old (13-02-2000),172cm,Portugal,Midfielder (Centre),0.1,-,0.1,-,-,-,-,-,-,-,0.3,-,0.7,-,-,0.6,0.5,0.9,1.4,0.4,0.3,0.2,-,0.1,-,0.5,0.8,0.1,0.7,-,80.6,5.2,0.9,70.5,4,1.1,0.7,-,-,-,-,1,0.6,-,0.4,1.5,0.8,2.3,Vitinha,19(9),1946,5,1,1,-,1,94,-,1,6.99
47,Denis Zakaria,Monaco,28 years old (20-11-1996),191cm,Switzerland,"Defender (Centre), Defensive Midfielder (C)",1.1,0.7,0.4,-,-,-,-,-,0.1,0.1,0.3,0.2,0.9,0.2,-,1.3,0.7,0.9,1.5,0.8,1.2,0.2,-,0.2,-,1.3,0.6,-,0.6,-,47.3,1.2,0.7,41.8,3.6,1.3,0.9,-,-,-,-,1.3,0.5,0.1,0.7,1.6,0.4,2,Denis Zakaria,22(1),1965,5,3,5,-,1.3,90.9,0.7,1,6.99
48,Vanderson,Monaco,23 years old (21-06-2001),173cm,Brazil,"Defender (Right), Midfielder (Right)",1.8,0.8,1,-,-,0.1,-,-,-,0.1,0.2,0.2,1.4,0.2,-,2.2,0.9,0.9,1.8,0.8,1,-,-,-,-,1.5,0.9,0.1,0.8,-,42.9,3,2.7,31.2,6.1,1.4,0.5,-,-,-,-,0.8,0.2,-,0.6,2.8,0.7,3.5,Vanderson,23(3),1991,1,3,4,1,0.8,79.6,0.8,2,6.99
50,Emanuel Emegha,Strasbourg,22 years old (03-02-2003),195cm,Netherlands,Forward,2.4,1,1.4,-,-,-,-,-,0.1,0.1,0.2,-,0.5,0.2,-,1.1,0.7,0.3,1,1.4,1.3,0.5,0.2,0.3,-,-,0.7,-,0.7,0.9,12.5,-,0.1,10.1,2.3,2.3,1.1,-,-,-,-,2.3,0.1,0.3,1.9,0.2,0.2,0.4,Emanuel Emegha,26,2218,14,3,6,-,2.3,80.9,1,2,6.98
51,Thilo Kehrer,Monaco,28 years old (21-09-1996),186cm,Germany,"Defender (Centre, Left, Right), Midfielder (Right)",3.3,2,1.3,-,-,-,-,-,-,-,0.3,0.1,0.3,-,-,4.1,0.1,-,0.1,0.8,0.8,0.2,0.1,-,-,1.3,0.2,0.1,0.1,-,67,3.2,3.1,57.3,3.5,0.2,0.1,-,-,-,-,0.5,-,0.1,0.3,1.4,0.6,2,Thilo Kehrer,26,2295,4,-,1,-,0.5,90.1,2,1,6.98
52,Junya Ito,Reims,32 years old (09-03-1993),176cm,Japan,"Midfielder (Left, Right), Forward",1.4,0.5,0.9,0.1,-,-,-,-,-,0.1,0.1,0.1,0.9,-,-,0.4,1.9,1.5,3.3,1,0.5,0.1,0.1,-,-,0.4,2.6,0.6,2,0.3,29.8,0.7,1.1,21.8,6.1,2.6,1.2,-,-,-,-,1,0.3,0.2,0.5,1.4,1.4,2.8,Junya Ito,30(1),2588,4,3,1,-,1,75.8,0.5,4,6.98
53,Nathan Zézé,Nantes,19 years old (18-06-2005),190cm,,Defender (Centre),3.3,1.8,1.5,-,-,-,-,-,-,-,0.5,0.1,0.8,0.3,-,7.2,0.1,0.2,0.3,0.7,0.9,-,-,-,-,1.5,-,-,-,-,47.9,2.5,3.9,38.8,2.8,0.4,-,-,-,-,-,0.3,-,-,0.3,2.1,0.6,2.7,Nathan Zézé,15,1315,-,-,4,-,0.3,86.1,1.8,1,6.96
54,Nicolás Tagliafico,Lyon,32 years old (31-08-1992),172cm,Argentina,"Defender (Centre, Left), Midfielder (Left)",2.1,1.1,1,-,-,-,-,-,-,-,0.3,0.2,0.7,0.3,-,2,0.3,-,0.4,1.1,1.4,0.1,-,0.1,-,1.5,0.2,-,0.2,-,48.1,1.1,1.2,41.5,4.4,1,0.2,-,-,-,-,1,0.2,-,0.8,2.5,0.8,3.2,Nicolás Tagliafico,19(2),1635,3,1,6,-,1,88.4,1.1,1,6.95
55,Donovan Léon,Auxerre,32 years old (03-11-1992),187cm,France,Goalkeeper,0.3,0.3,-,-,-,-,0.1,-,-,0.1,-,-,0.1,0.1,-,0.9,-,-,-,0.1,-,-,-,-,-,-,0.1,0.1,-,-,30.5,8,14.8,7.7,0.1,-,-,3.8,0.4,2.4,0.9,-,-,-,-,-,0.1,0.1,Donovan Léon,29,2610,-,2,4,-,-,51.4,0.3,2,6.95
56,Karl-Johan Johnsson,Strasbourg,35 years old (28-01-1990),188cm,Sweden,Goalkeeper,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,36,3,6.3,25.7,1,-,-,5.3,0.3,3.7,1.3,-,-,-,-,-,0.3,0.3,Karl-Johan Johnsson,3,270,-,-,-,-,-,79.6,0.3,-,6.93
57,Nuno Mendes,Paris Saint-Germain,22 years old (19-06-2002),180cm,Portugal,"Defender (Left), Midfielder (Left)",1.1,0.7,0.4,-,-,-,-,-,-,0.1,0.3,0.1,0.7,0.1,-,1.4,1,1.2,2.1,0.8,0.6,-,-,-,-,0.7,1.1,0.3,0.9,-,54.1,2.2,1.3,45.7,5,1.2,0.9,-,-,-,-,0.8,0.5,0.1,0.3,1.3,0.7,1.9,Nuno Mendes,18(5),1586,1,2,3,-,0.8,88.4,0.7,1,6.93
58,Guéla Doué,Strasbourg,22 years old (17-10-2002),187cm,France,"Defender (Centre, Right)",2.9,1.8,1.1,-,-,-,-,-,-,-,0.2,0.2,1,0.2,-,4.7,0.4,0.8,1.2,0.6,1.1,-,-,-,-,1.1,0.3,0.1,0.3,-,55.6,1.3,2.8,46.8,4.7,1.3,0.3,-,-,-,-,0.6,0.1,0.1,0.4,2,0.5,2.5,Guéla Doué,27(2),2472,1,1,6,-,0.6,86.6,1.8,1,6.93
59,Hákon Haraldsson,Lille,22 years old (10-04-2003),180cm,,"Attacking Midfielder (Centre, Left, Right), Forward",0.6,0.1,0.5,-,-,-,-,-,0.1,0.1,-,-,0.4,0.1,-,0.2,0.8,1.1,1.9,1.2,0.7,0.2,-,0.2,-,0.3,1.5,0.1,1.3,0.1,35.9,1.1,0.6,28.5,5.7,1.8,0.5,-,-,-,-,1.5,0.5,-,0.9,1.5,0.7,2.2,Hákon Haraldsson,18(4),1539,5,3,3,-,1.5,82.5,0.1,2,6.93
60,Charlie Cresswell,Toulouse,22 years old (17-08-2002),187cm,England,Defender (Centre),4.9,3.3,1.6,-,-,-,-,-,-,-,0.9,0.1,0.5,0.1,-,6,0.2,0.1,0.3,0.4,0.9,0.1,0.1,-,-,1,0.2,-,0.2,0.1,49.5,2.1,4.5,39,3.9,0.7,0.1,-,-,-,-,1.1,-,0.2,0.9,1.2,0.6,1.8,Charlie Cresswell,27(2),2413,3,1,4,-,1.1,83,3.3,1,6.92
61,Youssouf Ndayishimiye,Nice,26 years old (27-10-1998),183cm,Burundi,"Defender (Centre), Defensive Midfielder (C)",2.8,1.6,1.2,-,-,-,-,-,-,-,0.8,0.1,0.7,0.2,-,5,0.1,0.3,0.3,0.6,0.8,0.1,-,0.1,-,0.9,0.2,0.1,0.1,-,56.7,1.7,2.8,49.3,2.9,0.6,0.3,-,-,-,-,0.5,0.1,-,0.3,1.7,0.5,2.2,Youssouf Ndayishimiye,22(1),1934,3,-,5,-,0.5,89.9,1.6,-,6.92
62,Cristian Cásseres,Toulouse,25 years old (20-01-2000),176cm,Venezuela,"Midfielder (Centre, Right)",1.2,0.7,0.6,-,-,-,-,-,0.1,0.1,0.2,-,0.9,0.3,-,1.1,0.4,0.7,1.1,1.4,1.7,-,-,-,-,1.3,0.9,0.2,0.7,-,41.6,1.9,1.8,32,5.8,1.2,0.3,-,-,-,-,0.6,0.3,-,0.2,3,1.2,4.2,Cristian Cásseres,28(1),2435,1,3,9,-,0.6,81.7,0.7,2,6.91
63,Mahdi Camara,Brest,26 years old (30-06-1998),178cm,France,"Defender (Centre, Right), Midfielder (Centre)",1.6,0.6,1,-,-,-,-,-,0.1,0.1,0.1,0.1,1.1,0.2,-,0.8,1.1,0.8,1.9,1.4,1.2,0.2,-,0.1,0.1,1,0.7,-,0.7,0.1,32.2,0.5,0.5,27.7,3.5,1.1,0.9,-,-,-,-,1.5,0.5,0.1,0.8,2.1,0.6,2.8,Mahdi Camara,28(3),2402,5,2,5,-,1.5,87.8,0.6,2,6.91
64,Patrik Carlgren,Nantes,33 years old (08-01-1992),188cm,Sweden,Goalkeeper,0.2,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,0.6,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,21.8,5,8.6,8.2,-,-,-,4.2,0.2,3,1,-,-,-,-,-,-,-,Patrik Carlgren,4(1),416,-,-,-,-,-,60.6,-,1,6.91
65,Marquinhos,Paris Saint-Germain,30 years old (14-05-1994),183cm,Brazil,"Defender (Centre, Right), Defensive Midfielder (C)",2.3,1.5,0.9,-,-,-,-,-,-,-,0.6,0.1,0.6,0.1,-,2.8,-,0.1,0.2,0.3,0.9,-,-,-,-,0.5,0.4,-,0.4,-,82.7,4.2,1.9,74.2,2.3,0.1,-,-,-,-,-,0.3,-,0.1,0.1,1.4,0.4,1.8,Marquinhos,18(3),1651,1,-,3,-,0.3,94.9,1.5,-,6.91
66,Wilfried Singo,Monaco,24 years old (25-12-2000),190cm,Ivory Coast,"Defender (Centre, Right), Midfielder (Right)",3.2,2,1.1,-,-,-,-,-,0.1,0.1,0.2,0.1,0.3,0.2,-,4,0.2,0.3,0.5,1.3,1.3,-,-,-,-,1.8,0.3,-,0.3,0.1,51.3,2.3,3.3,42,3.6,0.5,0.3,-,-,-,-,0.7,0.1,0.2,0.4,1.3,0.3,1.7,Wilfried Singo,20(4),1823,1,2,4,-,0.7,86.5,2,1,6.91
67,Marcin Bulka,Nice,25 years old (04-10-1999),199cm,Poland,Goalkeeper,0.4,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,27.6,4.7,5.7,16.7,0.5,0.1,-,3.7,0.2,2.3,1.2,-,-,-,-,-,-,-,Marcin Bulka,31,2790,-,-,-,-,-,77.5,0.4,2,6.9
68,Gideon Mensah,Auxerre,26 years old (18-07-1998),178cm,Ghana,"Defender (Left), Midfielder (Left)",1.3,0.6,0.7,-,-,-,-,-,-,-,0.2,0.3,0.8,0.1,-,2.7,1,1.1,2,0.9,1.2,-,-,-,-,1.7,0.8,0.3,0.5,-,35.5,2.2,2.3,27,4,1.4,1.2,-,-,-,-,0.2,0.1,-,0.1,2.3,1.1,3.4,Gideon Mensah,24(2),2094,-,1,2,-,0.2,82.2,0.6,-,6.9
69,Anthony Rouault,Rennes,23 years old (29-05-2001),186cm,France,Defender (Centre),4.3,2.9,1.4,-,-,-,-,-,-,-,1.3,-,0.1,-,-,6,-,-,-,0.1,0.6,-,-,-,-,0.9,-,-,-,-,66.1,2.8,2.6,57,3.8,0.1,0.3,-,-,-,-,0.8,-,0.1,0.6,0.9,-,0.9,Anthony Rouault,8,703,-,-,-,-,0.8,90.4,2.9,-,6.9
70,Tiago Santos,Lille,22 years old (23-07-2002),175cm,,Defender (Right),1.6,1,0.6,-,-,-,-,-,-,-,-,-,0.3,0.1,-,0.6,1.3,1.7,3,1.4,0.9,-,-,-,-,0.3,0.7,0.1,0.6,0.3,26.1,0.6,1,21.1,3.4,1.9,0.4,-,-,-,-,1.1,0.7,-,0.4,1.7,0.4,2.1,Tiago Santos,4(3),405,-,-,1,-,1.1,83.1,1,-,6.9
71,Fabián Ruiz,Paris Saint-Germain,29 years old (03-04-1996),189cm,Spain,"Midfielder (Centre, Left)",0.4,0.1,0.3,-,-,-,-,-,0.1,0.1,0.1,0.1,0.8,-,-,0.9,0.2,0.5,0.7,0.4,0.2,0.1,-,0.1,-,0.6,1.2,0.1,1.1,0.2,53.8,2.4,0.7,46.7,3.9,0.8,0.6,-,-,-,-,1.5,0.7,0.1,0.7,1.3,0.9,2.2,Fabián Ruiz,20(8),1834,4,4,1,-,1.5,91.4,0.1,2,6.9
72,Aleksandr Golovin,Monaco,28 years old (30-05-1996),178cm,Russia,"Midfielder (Centre, Left, Right)",1.2,0.5,0.7,-,-,-,-,-,-,-,0.2,0.1,0.6,0.1,-,0.3,0.8,1.2,1.9,1.1,1.3,0.2,-,0.1,0.1,0.6,1.3,0.2,1.1,0.1,33.9,2.2,1.5,24.7,5.5,1.4,0.9,-,-,-,-,1.3,0.7,-,0.5,2,1.2,3.2,Aleksandr Golovin,13(6),1155,3,-,1,-,1.3,79.2,0.5,1,6.9
73,Melvin Bard,Nice,24 years old (06-11-2000),173cm,France,"Defender (Centre, Left), Midfielder (Left)",1.6,1,0.6,-,-,-,-,-,-,-,0.6,0.5,1,0.1,0.1,2.1,1.2,0.9,2.1,0.8,0.7,0.1,-,0.1,-,1.2,0.7,0.2,0.4,0.1,37.4,1.1,2.8,29.1,4.4,1.2,0.5,-,-,-,-,0.9,0.2,-,0.7,2.2,0.8,3,Melvin Bard,19(2),1672,2,-,2,2,0.9,80.9,1,1,6.89
74,Juma Bah,Lens,19 years old (11-04-2006),195cm,,Defender (Centre),3,2.1,0.9,-,-,-,-,-,-,-,0.7,-,0.1,0.3,-,3.9,-,0.4,0.4,0.1,0.6,-,-,-,-,1.6,0.1,-,0.1,-,35.1,0.4,0.1,32.4,2.1,0.3,0.3,-,-,-,-,0.3,-,-,0.3,1.6,0.3,1.9,Juma Bah,5(2),417,-,-,2,-,0.3,93.5,2.1,-,6.89
76,Willian Pacho,Paris Saint-Germain,23 years old (16-10-2001),188cm,Ecuador,Defender (Centre),2,1,1,-,-,-,-,-,-,-,0.8,0.1,0.5,0.1,-,3.1,0.2,-,0.2,0.3,0.7,-,-,-,-,1.5,0.1,-,0.1,-,69.4,1.4,1.6,64.4,2,0.6,0.1,-,-,-,-,0.1,-,-,0.1,2,0.3,2.4,Willian Pacho,22(5),2041,-,1,2,-,0.1,94.9,1,-,6.88
77,Mathew Ryan,Lens,33 years old (08-04-1992),184cm,Australia,Goalkeeper,0.4,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,23.2,4.4,7.4,11.3,0.2,-,0.1,3,0.4,2.1,0.5,-,-,-,-,0.1,0.1,0.2,Mathew Ryan,11,990,-,-,-,-,-,67.5,0.4,2,6.87
78,Yahia Fofana,Angers,24 years old (21-08-2000),194cm,Ivory Coast,Goalkeeper,0.4,0.3,0.1,-,-,-,-,-,-,-,-,-,-,0.1,-,0.9,-,0.1,0.1,0.3,-,-,-,-,-,-,-,-,-,-,25,5.7,9.1,10.1,0.1,-,-,4.2,0.2,2.7,1.3,-,-,-,-,-,0.1,0.1,Yahia Fofana,31,2790,-,-,4,-,-,63.2,0.3,1,6.87
79,Zuriko Davitashvili,Saint-Etienne,24 years old (15-02-2001),175cm,Georgia,"Attacking Midfielder (Centre, Left, Right)",1.9,0.5,1.4,0.1,-,-,-,-,0.1,0.2,-,-,0.7,0.1,-,0.4,2.3,1.6,3.9,1.2,0.6,0.3,-,0.2,0.1,0.4,1.5,0.1,1.3,0.1,25.6,0.3,0.4,20.9,4,2.2,1.7,-,-,-,-,2.1,1,-,1.1,0.7,1.1,1.8,Zuriko Davitashvili,29(1),2524,8,7,2,-,2.1,82.9,0.5,2,6.86
80,Gabriel Suazo,Toulouse,27 years old (09-08-1997),178cm,Chile,"Defender (Left), Midfielder (Left)",1.1,0.5,0.7,0.1,-,-,-,-,0.1,0.2,0.1,0.1,0.8,-,-,1.3,0.5,0.9,1.3,1,1.1,-,-,-,-,1.2,1.3,0.3,1,0.1,34.5,1.1,1.1,27.4,4.9,1.2,0.5,-,-,-,-,0.2,0.1,-,0.2,2,1.4,3.5,Gabriel Suazo,23(6),2141,-,6,-,-,0.2,82.6,0.5,1,6.86
81,Azor Matusiwa,Rennes,27 years old (28-04-1998),173cm,Netherlands,Defensive Midfielder (C),1.8,1.2,0.6,-,-,-,-,-,0.1,0.1,0.3,0.2,0.6,0.1,-,1.7,0.2,0.6,0.7,1.2,1.1,-,-,-,-,1.3,0.5,0.2,0.4,-,40,1.9,0.5,33,4.6,0.8,0.6,-,-,-,-,0.4,0.2,-,0.2,2.4,0.4,2.8,Azor Matusiwa,21(5),1905,1,2,3,-,0.4,87.1,1.2,1,6.86
82,Baptiste Santamaría,Nice,30 years old (09-03-1995),183cm,France,Defensive Midfielder (C),2.9,1.9,1,-,-,-,-,-,-,-,0.2,0.3,1,0.1,-,1.5,0.3,0.7,1,1.6,1.3,-,-,-,-,1.4,0.8,-,0.8,-,40.2,2.2,1.5,31.8,4.7,1.2,0.6,-,-,-,-,1.5,0.9,-,0.5,1.7,0.6,2.4,Baptiste Santamaría,10(1),850,-,-,1,-,1.5,84.6,1.9,1,6.86
83,Lucas Perri,Lyon,27 years old (10-12-1997),197cm,Brazil,Goalkeeper,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,26.8,3.8,7,15.8,0.2,-,0.1,3.6,0.1,2,1.5,-,-,-,-,-,0.1,0.2,Lucas Perri,30,2700,-,-,1,-,-,73,0.5,2,6.86
84,Alexsandro Ribeiro,Lille,25 years old (09-08-1999),189cm,Brazil,Defender (Centre),2.8,2.1,0.7,-,-,-,-,-,-,-,0.4,-,0.3,0.3,-,4.7,0.1,0.2,0.3,1.1,1,-,-,-,-,0.9,0.3,-,0.2,0.1,78.4,4,3,67.6,3.9,0.7,0.3,-,-,-,-,0.6,-,0.1,0.5,1.1,0.4,1.5,Alexsandro Ribeiro,27,2430,1,1,9,-,0.6,91.2,2.1,2,6.85
85,Douglas Augusto,Nantes,28 years old (13-01-1997),173cm,Brazil,Defensive Midfielder (C),2.1,0.8,1.2,-,-,-,-,-,0.1,0.1,0.4,0.1,1.4,0.3,-,1.5,0.3,0.5,0.8,1.3,1.5,0.2,-,0.1,-,1.1,0.5,0.1,0.5,-,40.8,1.7,1.4,33.9,3.9,0.6,0.5,-,-,-,-,1.2,0.5,0.1,0.7,2.4,0.7,3.1,Douglas Augusto,26,2137,4,2,8,-,1.2,87,0.8,-,6.85
86,Alidu Seidu,Rennes,24 years old (04-06-2000),173cm,Ghana,"Defender (Centre, Right)",2.1,0.9,1.2,-,-,-,-,-,-,-,0.5,-,0.6,0.4,-,1.5,0.8,0.8,1.6,2.5,0.9,-,-,-,-,1.3,0.5,-,0.5,0.1,41.5,1.5,1.9,34.4,3.7,0.5,0.9,-,-,-,-,0.3,0.1,-,0.2,2,0.3,2.3,Alidu Seidu,10(1),807,-,-,4,-,0.3,86.4,0.9,-,6.85
87,Ali Abdi,Nice,31 years old (20-12-1993),183cm,Tunisia,Midfielder (Left),1.5,0.9,0.7,0.1,-,-,-,-,-,0.1,0.2,0.2,0.6,0.1,-,1.3,0.7,0.5,1.1,0.5,1.1,0.2,-,0.1,-,0.9,0.8,0.2,0.6,0.2,21.1,0.4,1,16.4,3.3,1.2,0.6,-,-,-,-,1.2,0.4,0.1,0.7,1.9,0.6,2.5,Ali Abdi,15(7),1257,4,2,2,-,1.2,79.5,0.9,3,6.85
88,Alexandre Lacazette,Lyon,33 years old (28-05-1991),175cm,France,"Midfielder (Centre, Left, Right), Forward",1.7,0.6,1.1,-,-,-,-,-,-,0.1,0.1,-,0.4,0.2,-,0.2,0.6,0.4,1,1,1.6,0.5,0.2,0.3,-,0.3,0.8,-,0.8,0.7,17.4,0.5,0.5,12.2,4.3,1.8,0.6,-,-,-,-,1.9,0.2,0.3,1.4,0.5,0.4,0.8,Alexandre Lacazette,22(6),1892,13,2,5,-,1.9,72.5,0.6,1,6.85
89,Morgan Sanson,Nice,30 years old (18-08-1994),180cm,France,"Midfielder (Centre, Left, Right)",0.3,0.3,-,-,-,-,-,-,-,-,-,-,0.7,-,-,0.3,0.7,-,0.7,-,0.3,0.7,-,0.7,-,1,0.3,-,0.3,-,16,1.7,0.7,10.7,3,1.3,0.3,-,-,-,-,1.3,0.7,-,0.7,1.3,0.7,2,Morgan Sanson,1(2),109,2,-,-,-,1.3,77.1,0.3,-,6.85
90,Aron Dønnum,Toulouse,27 years old (20-04-1998),179cm,Norway,"Midfielder (Centre, Left, Right)",0.9,0.4,0.5,-,-,-,-,-,-,0.1,0.1,0.3,0.8,0.2,-,0.9,1.9,1.5,3.4,1.6,1.2,-,-,-,-,0.9,1.4,0.5,0.9,-,30.2,2.4,1.6,20.8,5.5,1.3,1.1,-,-,-,-,0.9,0.4,-,0.5,1.8,0.7,2.5,Aron Dønnum,29(1),2518,1,2,5,-,0.9,76.7,0.4,2,6.85
91,Adrien Thomasson,Lens,31 years old (10-12-1993),175cm,France,"Midfielder (Centre, Left, Right)",2,0.6,1.4,-,-,-,-,-,0.1,0.1,0.1,-,1.2,0.2,-,0.9,1.1,0.8,1.8,1.4,1.6,0.1,-,-,-,0.6,1.6,0.1,1.4,0.2,48.1,1.3,1,39.1,6.6,2,1.3,-,-,-,-,1.3,0.3,0.2,0.7,2.8,1.2,4,Adrien Thomasson,28(2),2370,2,4,5,-,1.3,84,0.6,2,6.83
92,Hervé Koffi,Lens,28 years old (16-10-1996),186cm,Burkina Faso,Goalkeeper,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,0.4,-,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.4,4,7,11.2,0.2,-,-,3.6,0.4,2.8,0.4,-,-,-,-,0.2,-,0.2,Hervé Koffi,5,450,-,-,2,-,-,67.9,0.2,-,6.83
93,Eliesse Ben Seghir,Monaco,20 years old (16-02-2005),178cm,Morocco,"Attacking Midfielder (Centre, Left), Forward",1.2,0.5,0.7,0.1,-,-,-,-,-,0.1,-,0.1,0.6,-,-,-,1.9,1.1,3,1.8,0.8,0.2,-,0.2,-,0.4,1.1,0.2,0.9,0.1,27.8,0.5,0.5,22.4,4.4,1.9,1.1,-,-,-,-,2,1.1,-,0.9,1,0.4,1.4,Eliesse Ben Seghir,18(12),1648,6,3,-,-,2,82.3,0.5,2,6.83
95,Ismaël Bennacer,Marseille,27 years old (01-12-1997),175cm,Algeria,Midfielder (Centre),0.6,0.2,0.4,-,-,0.1,0.1,-,-,0.2,-,-,0.5,0.1,-,0.1,0.4,0.7,1.1,0.9,1.7,-,-,-,-,0.9,1.2,0.3,0.9,-,68.1,1.9,0.8,61.6,3.8,0.6,1.1,-,-,-,-,0.3,0.2,-,0.1,2,0.5,2.5,Ismaël Bennacer,6(4),542,-,2,1,-,0.3,93.2,0.2,-,6.83
96,Caio Henrique,Monaco,27 years old (31-07-1997),178cm,Brazil,"Defender (Left), Midfielder (Centre, Left)",1.1,0.4,0.7,0.2,-,-,-,-,-,0.2,0.2,0.2,0.6,0.1,-,1.7,0.1,0.5,0.6,0.8,0.6,-,-,-,-,0.7,1.4,0.4,1,0.2,39.1,1.5,3,29.3,5.4,0.9,0.3,-,-,-,-,0.1,0.1,-,-,1.3,0.8,2.1,Caio Henrique,18(6),1663,-,5,3,-,0.1,78.5,0.4,-,6.83
97,Mory Gbane,Reims,24 years old (25-12-2000),188cm,Ivory Coast,"Defender (Centre), Defensive Midfielder (C)",1.8,1.2,0.6,-,-,-,-,-,-,-,0.9,-,0.1,0.1,-,7,-,0.4,0.4,0.1,0.8,-,-,-,-,1.7,0.3,-,0.3,-,38.2,1.7,2.4,31.1,3,0.5,0.3,-,-,-,-,0.4,0.3,-,0.1,1.8,0.9,2.7,Mory Gbane,10,856,-,-,1,-,0.4,85.9,1.2,-,6.83
98,Brice Samba,Rennes,31 years old (25-04-1994),187cm,France,Goalkeeper,0.4,0.4,-,-,-,-,-,-,-,-,-,-,-,0.2,-,0.9,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,34.8,5.5,8.1,20.7,0.5,-,-,3.4,0.3,2.4,0.6,-,-,-,-,0.1,-,0.1,Brice Samba,14,1260,-,-,3,-,-,75.4,0.4,1,6.82
100,Tanguy Ndombélé,Nice,28 years old (28-12-1996),181cm,France,Midfielder (Centre),0.7,0.2,0.6,-,-,0.1,-,-,0.1,0.1,-,0.1,0.5,0.1,-,0.4,1.2,1.4,2.6,1.6,0.6,0.1,-,0.1,-,0.8,1,0.1,0.9,-,26.1,0.8,0.4,22.2,2.6,1.6,1.2,-,-,-,-,0.6,0.1,0.2,0.3,1.9,0.4,2.4,Tanguy Ndombélé,12(6),1134,1,2,2,-,0.6,88.3,0.2,-,6.81
101,Leonardo Balerdi,Marseille,26 years old (26-01-1999),187cm,Argentina,Defender (Centre),2.4,1.5,0.8,-,-,-,-,-,-,-,0.6,-,0.4,0.3,-,2.7,0.3,0.8,1,0.8,1,-,-,-,-,1.3,0.3,-,0.3,-,95.8,2.7,1.9,87.5,3.7,0.8,0.5,-,-,-,-,0.5,0.2,-,0.3,2,0.8,2.8,Leonardo Balerdi,24,2006,-,-,6,1,0.5,94.1,1.5,-,6.81
102,Yanis Zouaoui,Le Havre,27 years old (28-04-1998),183cm,,Defender (Left),0.7,0.5,0.3,0.1,0.1,-,-,-,-,0.1,0.1,0.5,0.8,0.2,-,2.4,0.3,0.9,1.2,0.8,0.5,-,-,-,-,0.5,1.7,0.9,0.9,0.1,25.1,1.4,2.7,17.4,3.6,1.1,0.2,-,-,-,-,0.3,0.3,-,-,1.2,0.3,1.5,Yanis Zouaoui,9(6),945,-,2,3,-,0.3,74.8,0.5,2,6.81
